Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Tata TIGOR,Tata,2018,60000,Petrol,Manual,5737,325000,8,Agra
Maruti Alto 800,Maruti,2013,59183,Petrol,Manual,8084,172000,13,Agra
Mahindra Kuv100,Mahindra,2016,92583,Diesel,Manual,6683,254000,10,Agra
Hyundai Creta,Hyundai,2018,77164,Diesel,Manual,12871,658000,8,Agra
Mahindra Kuv100,Mahindra,2018,44360,Petrol,Manual,5649,320000,8,Agra
Maruti Vitara Brezza,Maruti,2018,92123,Diesel,Manual,11364,581000,8,Agra
Tata PUNCH,Tata,2022,26000,Petrol,Auto,9815,556000,4,Agra
Maruti Swift,Maruti,2013,105371,Diesel,Manual,17503,197000,13,Agra
Maruti Wagon R 1.0,Maruti,2016,69019,Petrol,Manual,5205,234000,10,Agra
Renault TRIBER,Renault,2020,72218,Petrol,Manual,7061,400000,6,Agra
Renault Kwid,Renault,2016,51025,Petrol,Manual,1869,84000,10,Agra
Maruti Dzire,Maruti,2020,115739,Petrol,Manual,9810,441000,6,Agra
Renault Duster,Renault,2015,90000,Diesel,Manual,7307,220000,11,Agra
Nissan MAGNITE,Nissan,2021,41705,Petrol,Manual,6761,383000,5,Agra
Mahindra Kuv100,Mahindra,2017,81450,Diesel,Manual,4627,208000,9,Agra
Nissan MAGNITE,Nissan,2021,26577,Petrol,Manual,7661,434000,5,Agra
Hyundai Verna,Hyundai,2018,91215,Diesel,Manual,12082,618000,8,Agra
Toyota Etios Liva,Toyota,2013,145863,Diesel,Manual,21324,240000,13,Agra
Maruti Swift,Maruti,2016,150334,Diesel,Manual,8348,317000,10,Agra
Maruti New Wagon-R,Maruti,2021,41896,Petrol,Manual,6938,393000,5,Agra
Honda City,Honda,2016,84351,Diesel,Manual,8216,312000,10,Agra
Ford Ecosport,Ford,2017,152105,Diesel,Manual,8675,390000,9,Agra
Hyundai GRAND I10 NIOS,Hyundai,2022,15476,Petrol,Manual,9021,511000,4,Agra
Maruti Swift,Maruti,2019,72828,Petrol,Manual,6584,373000,7,Agra
Tata Manza,Tata,2012,108221,Diesel,Manual,6584,79000,14,Agra
Hyundai Elite i20,Hyundai,2019,27918,Petrol,Manual,6514,369000,7,Agra
Maruti Swift,Maruti,2013,189478,Diesel,Manual,20435,229999,13,Agra
Skoda Laura,Skoda,2012,88419,Petrol,Manual,11639,131000,14,Agra
Maruti Swift Dzire,Maruti,2012,88220,Petrol,Manual,17592,198000,14,Agra
Maruti Swift,Maruti,2011,29932,Petrol,Manual,17592,148000,15,Agra
Hyundai Verna,Hyundai,2012,155731,Diesel,Manual,17592,183000,14,Agra
Maruti Vitara Brezza,Maruti,2018,92127,Diesel,Manual,9013,461000,8,Agra
Maruti SX4,Maruti,2014,189254,Diesel,Manual,6308,134000,12,Agra
Tata Tiago,Tata,2019,82203,Petrol,Manual,3884,220000,7,Agra
Hyundai Creta,Hyundai,2018,34918,Petrol,Manual,9709,550000,8,Agra
Toyota Etios Liva,Toyota,2014,242460,Diesel,Manual,10027,213000,12,Agra
Hyundai Grand i10,Hyundai,2017,83125,Diesel,Manual,5072,227999,9,Agra
Maruti Swift,Maruti,2013,64368,Petrol,Manual,11062,235000,13,Agra
Maruti Swift,Maruti,2013,89036,Petrol,Manual,11298,240000,13,Agra
Maruti Swift Dzire,Maruti,2013,113897,Petrol,Manual,9462,200999,13,Agra
Maruti Swift Dzire,Maruti,2013,62136,Diesel,Manual,20435,229999,13,Agra
Maruti Swift,Maruti,2014,105831,Diesel,Manual,11533,245000,12,Agra
Maruti Ciaz,Maruti,2014,93693,Petrol,Manual,10296,310000,12,Agra
Maruti Baleno,Maruti,2022,63547,Petrol,Manual,8067,457000,4,Agra
Maruti Swift,Maruti,2014,92894,Petrol,Manual,7805,235000,12,Agra
Maruti Swift Dzire,Maruti,2012,72056,Petrol,Manual,14660,165000,14,Agra
Audi Q3,Audi,2013,116254,Diesel,Auto,39005,438999,13,Agra
Hyundai Verna,Hyundai,2012,138968,Diesel,Manual,39005,150000,14,Agra
Renault Kwid,Renault,2018,40927,Petrol,Manual,3125,177000,8,Agra
Honda City,Honda,2022,48914,Petrol,Manual,14034,795000,4,Agra
Datsun Go,Datsun,2015,30000,Petrol,Manual,2844,108000,11,Agra
Maruti Swift,Maruti,2017,124852,Diesel,Manual,5116,229999,9,Agra
Maruti Celerio,Maruti,2016,46191,Diesel,Manual,4687,178000,10,Agra
Maruti Swift Dzire,Maruti,2013,71212,Petrol,Manual,8140,173000,13,Agra
Maruti Swift Dzire,Maruti,2013,61591,Petrol,Manual,10356,220000,13,Agra
Maruti Wagon R 1.0,Maruti,2013,72501,Petrol,Manual,7626,162000,13,Agra
Hyundai i20,Hyundai,2015,89694,Petrol,Auto,7847,298000,11,Agra
Maruti Swift,Maruti,2014,90991,Diesel,Manual,12145,258000,12,Agra
Maruti Swift Dzire,Maruti,2013,277140,Diesel,Manual,10573,119000,13,Agra
Volkswagen Ameo,Volkswagen,2016,106042,Diesel,Auto,7215,274000,10,Agra
Volkswagen Jetta,Volkswagen,2012,121328,Diesel,Auto,7215,442000,14,Agra
Mercedes Benz C Class,Mercedes,2012,118395,Diesel,Auto,7215,256999,14,Agra
Maruti Wagon R 1.0,Maruti,2013,105962,Petrol,Manual,7296,155000,13,Agra
Maruti Alto,Maruti,2021,42757,Petrol,Manual,4413,250000,5,Agra
Maruti Eeco,Maruti,2023,63134,Petrol,Manual,6161,349000,3,Agra
Maruti Swift Dzire,Maruti,2014,111693,Diesel,Manual,11721,249000,12,Agra
Maruti Swift,Maruti,2014,190884,Diesel,Manual,10121,215000,12,Agra
Maruti Swift Dzire,Maruti,2015,37274,Petrol,Manual,8954,340000,11,Agra
Hyundai GRAND I10 NIOS,Hyundai,2019,50152,Petrol,Manual,6267,355000,7,Agra
Maruti Swift Dzire,Maruti,2014,75803,Petrol,Manual,11226,338000,12,Agra
Maruti Swift,Maruti,2013,62498,Diesel,Manual,19014,214000,13,Agra
Maruti Swift,Maruti,2021,36911,Petrol,Manual,8738,495000,5,Agra
Maruti Swift,Maruti,2012,119457,Diesel,Manual,8738,194000,14,Agra
Renault Kwid,Renault,2018,46915,Petrol,Manual,3954,224000,8,Agra
Maruti Celerio,Maruti,2015,124050,Petrol,Manual,5319,202000,11,Agra
Maruti Swift,Maruti,2015,114614,Diesel,Manual,9798,295000,11,Agra
Maruti Wagon R 1.0,Maruti,2014,68222,Petrol,Manual,6244,188000,12,Agra
Honda Amaze,Honda,2015,88294,Diesel,Manual,7374,222000,11,Agra
Ford Ecosport,Ford,2016,62580,Diesel,Manual,7531,286000,10,Agra
Honda Brio,Honda,2013,83134,Petrol,Manual,5418,114999,13,Agra
Jaguar XF,Jaguar,2015,155950,Diesel,Auto,26191,800000,11,Agra
Renault Duster,Renault,2014,114624,Diesel,Manual,9791,208000,12,Agra
Hyundai Elite i20,Hyundai,2017,81375,Diesel,Manual,7452,335000,9,Agra
