Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Wagon R 1.0,Maruti,2018,40285,Petrol,Manual,5896,334000,8,Ahmedabad
Maruti Alto,Maruti,2019,38068,Petrol,Manual,3959,224000,7,Ahmedabad
Maruti Swift,Maruti,2019,40477,Petrol,Manual,7890,447000,7,Ahmedabad
Hyundai Grand i10,Hyundai,2018,62098,CNG,Manual,9939,447000,8,Ahmedabad
Hyundai Elite i20,Hyundai,2017,75093,Petrol,Manual,8371,428000,9,Ahmedabad
Maruti Alto 800,Maruti,2017,52290,Petrol,Manual,4531,231999,9,Ahmedabad
Hyundai i10,Hyundai,2014,40603,Petrol,Manual,7413,223000,12,Ahmedabad
Tata ALTROZ,Tata,2022,50007,Petrol,Auto,9855,558000,4,Ahmedabad
Hyundai Elite i20,Hyundai,2019,52549,Petrol,Manual,9261,525000,7,Ahmedabad
Tata ALTROZ,Tata,2022,29288,CNG,Auto,11033,625000,4,Ahmedabad
Ford Ecosport,Ford,2021,44845,Diesel,Manual,14554,850000,5,Ahmedabad
Hyundai Elite i20,Hyundai,2019,22371,Petrol,Manual,9345,529000,7,Ahmedabad
Skoda SLAVIA,Skoda,2022,68593,Petrol,Manual,14448,844000,4,Ahmedabad
Hyundai Elite i20,Hyundai,2018,95311,Petrol,Manual,6277,356000,8,Ahmedabad
Maruti Celerio,Maruti,2017,106997,Petrol,Auto,6675,300000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2017,40710,CNG,Manual,10945,416000,9,Ahmedabad
Nissan MAGNITE,Nissan,2021,99687,Petrol,Manual,7950,450000,5,Ahmedabad
Maruti Alto,Maruti,2021,36648,CNG,Manual,5678,322000,5,Ahmedabad
Maruti Wagon R 1.0,Maruti,2016,76637,Petrol,Manual,6755,304000,10,Ahmedabad
Tata TIGOR,Tata,2019,140487,CNG,Manual,7190,323000,7,Ahmedabad
Hyundai NEW I20 N LINE,Hyundai,2021,48515,Petrol,Manual,10545,597000,5,Ahmedabad
Skoda Rapid,Skoda,2020,82390,Petrol,Manual,9324,528000,6,Ahmedabad
Hyundai Elite i20,Hyundai,2017,64079,Petrol,Manual,7353,376000,9,Ahmedabad
Tata Harrier,Tata,2022,66992,Diesel,Auto,24399,1425000,4,Ahmedabad
Jeep Compass,Jeep,2019,80423,Petrol,Auto,16089,940000,7,Ahmedabad
Maruti Wagon R 1.0,Maruti,2013,80259,CNG,Manual,16089,183000,13,Ahmedabad
Mahindra XUV300,Mahindra,2020,99728,Petrol,Manual,8670,491000,6,Ahmedabad
Hyundai GRAND I10 NIOS,Hyundai,2020,65549,Petrol,Manual,8129,459999,6,Ahmedabad
Honda Brio,Honda,2015,39409,Petrol,Manual,6725,254999,11,Ahmedabad
Mahindra XUV700,Mahindra,2022,38547,Petrol,Auto,23007,1344000,4,Ahmedabad
Tata ALTROZ,Tata,2023,22499,Petrol,Manual,11072,627000,3,Ahmedabad
Hyundai EXTER,Hyundai,2023,71738,Petrol,Auto,11919,675000,3,Ahmedabad
Renault Kwid,Renault,2021,35342,Petrol,Manual,4175,237000,5,Ahmedabad
Maruti Alto K10,Maruti,2017,36534,Petrol,Manual,4664,239000,9,Ahmedabad
Renault Kwid,Renault,2016,67101,Petrol,Manual,3920,176000,10,Ahmedabad
Volkswagen Vento,Volkswagen,2021,69524,Petrol,Auto,8720,494000,5,Ahmedabad
Volkswagen TAIGUN,Volkswagen,2022,54233,Petrol,Manual,16588,969000,4,Ahmedabad
Tata NEXON,Tata,2020,145444,Petrol,Manual,9472,426000,6,Ahmedabad
Honda City,Honda,2015,80810,Petrol,Manual,8949,340000,11,Ahmedabad
Skoda KUSHAQ,Skoda,2022,80030,Petrol,Auto,13913,788000,4,Ahmedabad
Tata Tiago,Tata,2018,50971,Petrol,Manual,5302,300000,8,Ahmedabad
Renault Duster,Renault,2017,30983,Petrol,Manual,9759,499000,9,Ahmedabad
Maruti S PRESSO,Maruti,2023,56489,Petrol,Auto,8269,468000,3,Ahmedabad
Hyundai Grand i10,Hyundai,2018,30514,Petrol,Manual,5640,320000,8,Ahmedabad
KIA SELTOS,KIA,2023,39263,Petrol,Auto,20547,1200000,3,Ahmedabad
Tata PUNCH,Tata,2022,38834,Petrol,Manual,8425,476999,4,Ahmedabad
Maruti Dzire,Maruti,2017,138676,Diesel,Manual,8655,389000,9,Ahmedabad
Maruti Vitara Brezza,Maruti,2016,104764,Diesel,Manual,13541,513999,10,Ahmedabad
Honda Amaze,Honda,2018,80731,Petrol,Manual,6397,362000,8,Ahmedabad
Ford Ecosport,Ford,2017,90376,Diesel,Manual,7548,339000,9,Ahmedabad
Maruti Alto 800,Maruti,2017,52642,Petrol,Manual,3890,199000,9,Ahmedabad
