Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Alto 800,Maruti,2013,54674,Petrol,Manual,9870,210000,13,Chennai
Renault Kwid,Renault,2016,45093,Petrol,Manual,5340,240000,10,Chennai
Renault Kwid,Renault,2016,77314,Petrol,Manual,5558,250000,10,Chennai
Maruti Swift,Maruti,2015,87471,Petrol,Manual,8869,337000,11,Chennai
Volkswagen Ameo,Volkswagen,2017,80212,Petrol,Manual,7785,398000,9,Chennai
Maruti Alto 800,Maruti,2012,60998,Petrol,Manual,15774,178000,14,Chennai
Maruti New Wagon-R,Maruti,2022,41630,Petrol,Auto,9091,515000,4,Chennai
Renault Kwid,Renault,2016,48002,Petrol,Manual,4449,200000,10,Chennai
Maruti Alto K10,Maruti,2023,27232,Petrol,Manual,6982,396000,3,Chennai
Hyundai Grand i10,Hyundai,2014,49549,Petrol,Manual,10671,321000,12,Chennai
Hyundai Grand i10,Hyundai,2018,37985,Petrol,Manual,7092,401999,8,Chennai
Hyundai i20,Hyundai,2013,103608,Petrol,Manual,13257,282000,13,Chennai
Maruti Baleno,Maruti,2022,30402,Petrol,Manual,11748,665000,4,Chennai
Hyundai i10,Hyundai,2013,95448,Petrol,Manual,7814,166000,13,Chennai
Honda City,Honda,2018,81066,Petrol,Manual,10582,599000,8,Chennai
Hyundai Elite i20,Hyundai,2018,46843,Petrol,Manual,8097,459000,8,Chennai
Volkswagen Vento,Volkswagen,2013,108521,Petrol,Manual,13322,283000,13,Chennai
Renault Kiger,Renault,2022,29013,Petrol,Auto,10957,621000,4,Chennai
Hyundai Creta,Hyundai,2021,75777,Petrol,Manual,13363,757000,5,Chennai
Hyundai i20 Active,Hyundai,2017,60535,Petrol,Manual,8006,409000,9,Chennai
Hyundai GRAND I10 NIOS,Hyundai,2022,56362,Petrol,Manual,10386,588000,4,Chennai
Datsun Go,Datsun,2014,24712,Petrol,Manual,5082,153000,12,Chennai
Maruti S PRESSO,Maruti,2021,139679,Petrol,Manual,7514,338000,5,Chennai
Hyundai i10,Hyundai,2016,57449,Petrol,Manual,6010,270000,10,Chennai
Tata TIGOR,Tata,2018,62198,Petrol,Manual,6637,376000,8,Chennai
KIA CARENS,KIA,2023,4955,Petrol,Auto,19691,1150000,3,Chennai
