Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Volkswagen Ameo,Volkswagen,2016,139671,CNG,Manual,7971,240000,10,Jaipur
Nissan MAGNITE,Nissan,2021,48334,Petrol,Manual,7961,451000,5,Jaipur
Tata Tiago,Tata,2017,65432,Petrol,Manual,6572,336000,9,Jaipur
Tata NEXON,Tata,2019,111783,Petrol,Manual,9244,416000,7,Jaipur
Hyundai NEW I20,Hyundai,2023,48674,Petrol,Manual,10856,615000,3,Jaipur
Volkswagen Ameo,Volkswagen,2016,79717,Petrol,Manual,6518,293000,10,Jaipur
Volkswagen Polo,Volkswagen,2020,70362,Petrol,Manual,6720,381000,6,Jaipur
Maruti S PRESSO,Maruti,2023,12327,Petrol,Manual,6990,396000,3,Jaipur
Maruti IGNIS,Maruti,2021,48171,Petrol,Manual,7474,423000,5,Jaipur
Maruti Swift,Maruti,2015,73731,Petrol,Manual,9077,345000,11,Jaipur
Hyundai VENUE,Hyundai,2020,103236,Petrol,Manual,10900,490000,6,Jaipur
Tata Harrier,Tata,2022,60641,Diesel,Auto,23150,1352000,4,Jaipur
Maruti Baleno,Maruti,2016,53335,Petrol,Auto,7613,342000,10,Jaipur
Maruti Alto 800,Maruti,2016,55877,Petrol,Manual,4427,199000,10,Jaipur
Nissan MAGNITE,Nissan,2023,27930,Petrol,Manual,8470,480000,3,Jaipur
Hyundai Elite i20,Hyundai,2019,25851,Petrol,Auto,7899,447000,7,Jaipur
Hyundai AURA,Hyundai,2022,45032,Petrol,Manual,9794,555000,4,Jaipur
Volkswagen Ameo,Volkswagen,2019,49461,Diesel,Manual,8120,459999,7,Jaipur
Hyundai NEW I20,Hyundai,2020,66458,Petrol,Manual,9091,515000,6,Jaipur
Hyundai NEW I20,Hyundai,2023,39600,Petrol,Manual,10415,590000,3,Jaipur
Maruti Alto K10,Maruti,2018,61893,Petrol,Manual,4712,267000,8,Jaipur
Ford Ecosport,Ford,2018,142097,Diesel,Manual,11456,515000,8,Jaipur
Tata TIGOR,Tata,2021,23482,Petrol,Manual,6796,385000,5,Jaipur
Maruti Vitara Brezza,Maruti,2020,71046,Petrol,Manual,10768,610000,6,Jaipur
KIA SELTOS,KIA,2021,29800,Petrol,Manual,13501,765000,5,Jaipur
Maruti Baleno,Maruti,2017,96493,Petrol,Auto,7722,395000,9,Jaipur
KIA CARENS,KIA,2024,20724,Petrol,Manual,16181,944999,2,Jaipur
Renault TRIBER,Renault,2022,72311,Petrol,Manual,7497,425000,4,Jaipur
