Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Amaze,Honda,2014,58313,Petrol,Manual,9816,296000,12,Kochi
Ford Figo Aspire,Ford,2016,86726,Petrol,Manual,6391,287000,10,Kochi
Mahindra TUV300,Mahindra,2016,103494,Diesel,Auto,13489,512000,10,Kochi
Nissan Kicks,Nissan,2020,38663,Petrol,Manual,12586,713000,6,Kochi
Maruti Alto 800,Maruti,2013,39801,Petrol,Manual,8181,174000,13,Kochi
Hyundai Eon,Hyundai,2018,53338,Petrol,Manual,3319,188000,8,Kochi
Tata TIGOR,Tata,2020,35465,Petrol,Auto,7875,446000,6,Kochi
Tata ALTROZ,Tata,2020,72750,Petrol,Manual,6802,385000,6,Kochi
Maruti Swift,Maruti,2019,44468,Petrol,Manual,8170,463000,7,Kochi
MG HECTOR,MG,2021,90837,Diesel,Manual,16814,982000,5,Kochi
Maruti Swift Dzire,Maruti,2013,68996,Petrol,Manual,13981,297000,13,Kochi
Ford Ecosport,Ford,2016,149073,Petrol,Manual,7341,330000,10,Kochi
Datsun Redi Go,Datsun,2018,85983,Petrol,Manual,2630,149000,8,Kochi
Honda Jazz,Honda,2018,64930,Petrol,Auto,8632,488999,8,Kochi
Hyundai NEW SANTRO,Hyundai,2020,63135,Petrol,Auto,7116,403000,6,Kochi
Tata NEXON,Tata,2021,43360,Petrol,Manual,8985,509000,5,Kochi
Renault Kwid,Renault,2017,117607,Petrol,Manual,3114,140000,9,Kochi
Nissan Sunny,Nissan,2013,30075,Petrol,Manual,8111,172000,13,Kochi
Maruti Alto 800,Maruti,2015,49127,Petrol,Manual,4845,184000,11,Kochi
Ford Ecosport,Ford,2014,106662,Petrol,Manual,10463,315000,12,Kochi
Ford FREESTYLE,Ford,2019,39138,Petrol,Manual,6090,345000,7,Kochi
Renault Kwid,Renault,2020,56092,Petrol,Manual,5208,295000,6,Kochi
Renault Kwid,Renault,2016,67389,Petrol,Manual,3337,150000,10,Kochi
Tata Tiago,Tata,2023,29883,Petrol,Manual,8050,455999,3,Kochi
Renault Kwid,Renault,2015,62290,Petrol,Manual,5377,204000,11,Kochi
Maruti Swift,Maruti,2013,79274,Petrol,Manual,13934,296000,13,Kochi
Datsun Redi Go,Datsun,2019,64501,Petrol,Manual,2207,125000,7,Kochi
Hyundai i10,Hyundai,2013,69998,Petrol,Manual,7767,165000,13,Kochi
Hyundai VENUE,Hyundai,2019,63145,Petrol,Manual,10397,589000,7,Kochi
Tata Tiago,Tata,2018,66608,Petrol,Auto,5561,315000,8,Kochi
Hyundai AURA,Hyundai,2022,121535,CNG,Manual,10344,465000,4,Kochi
Renault Kwid,Renault,2019,74559,Petrol,Manual,3160,179000,7,Kochi
Renault Duster,Renault,2013,81336,Diesel,Manual,24167,272000,13,Kochi
Tata Tiago,Tata,2021,29108,Petrol,Auto,8482,480000,5,Kochi
Mahindra KUV 100 NXT,Mahindra,2017,40726,Petrol,Manual,5572,285000,9,Kochi
Hyundai Elite i20,Hyundai,2016,52716,Petrol,Manual,8682,390000,10,Kochi
Hyundai Creta,Hyundai,2017,125870,Petrol,Manual,12457,560000,9,Kochi
Renault Kwid,Renault,2017,31419,Petrol,Auto,4179,214000,9,Kochi
Tata Tiago,Tata,2018,30617,Petrol,Manual,5673,321000,8,Kochi
KIA SONET,KIA,2020,60014,Diesel,Manual,12864,729000,6,Kochi
Datsun Redi Go,Datsun,2016,63052,Petrol,Manual,2798,126000,10,Kochi
Honda Jazz,Honda,2017,116273,Petrol,Manual,7830,352000,9,Kochi
Maruti Baleno,Maruti,2017,53593,Petrol,Auto,9580,490000,9,Kochi
Hyundai Grand i10,Hyundai,2017,98374,Petrol,Auto,6217,318000,9,Kochi
Volkswagen TAIGUN,Volkswagen,2021,91699,Petrol,Manual,15188,886999,5,Kochi
Tata Tiago,Tata,2019,56667,Petrol,Manual,6443,365000,7,Kochi
Hyundai Eon,Hyundai,2014,74909,Petrol,Manual,4750,143000,12,Kochi
Renault Kwid,Renault,2016,91411,Petrol,Manual,3426,154000,10,Kochi
Renault Kwid,Renault,2016,52041,Petrol,Manual,3515,158000,10,Kochi
MG HECTOR PLUS,MG,2020,40562,Petrol,Auto,17277,1009000,6,Kochi
Hyundai Eon,Hyundai,2013,43471,Petrol,Manual,7519,160000,13,Kochi
Ford FREESTYLE,Ford,2019,134993,Diesel,Manual,9788,440000,7,Kochi
Datsun Redi Go,Datsun,2017,63316,Petrol,Manual,2704,138000,9,Kochi
Volkswagen Ameo,Volkswagen,2016,92913,Petrol,Manual,6828,307000,10,Kochi
Maruti Baleno,Maruti,2020,95546,Petrol,Manual,9116,516000,6,Kochi
Maruti Alto 800,Maruti,2012,62499,Petrol,Manual,15311,172000,14,Kochi
Renault Kwid,Renault,2016,32225,Petrol,Manual,4894,220000,10,Kochi
Tata Tiago,Tata,2016,52175,CNG,Manual,9931,299000,10,Kochi
Honda City,Honda,2016,102619,Petrol,Manual,10604,476999,10,Kochi
