Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai Elite i20,Hyundai,2017,130747,Petrol,Manual,6162,277000,9,Mumbai
Jeep Compass,Jeep,2017,46449,Petrol,Auto,13729,702000,9,Mumbai
Datsun Redi Go,Datsun,2018,26811,Petrol,Auto,4202,238000,8,Mumbai
Renault Kwid,Renault,2020,22744,Petrol,Manual,5144,291000,6,Mumbai
Maruti Swift,Maruti,2016,42492,Petrol,Manual,8081,363000,10,Mumbai
Hyundai Verna,Hyundai,2016,120751,Diesel,Manual,13268,504000,10,Mumbai
Volkswagen Polo,Volkswagen,2013,56011,Petrol,Manual,12946,275000,13,Mumbai
Hyundai Eon,Hyundai,2012,71198,Petrol,Manual,11609,131000,14,Mumbai
Volkswagen TAIGUN,Volkswagen,2021,39135,Petrol,Auto,20547,1200000,5,Mumbai
Tata NEXON,Tata,2018,93457,Diesel,Manual,12009,614000,8,Mumbai
Tata Tiago,Tata,2018,26180,Petrol,Manual,4961,281000,8,Mumbai
Jeep Compass,Jeep,2017,55340,Diesel,Manual,14020,630000,9,Mumbai
Honda Jazz,Honda,2017,25431,Petrol,Auto,8205,420000,9,Mumbai
Hyundai Xcent,Hyundai,2016,26710,Petrol,Manual,7793,350000,10,Mumbai
Maruti Alto K10,Maruti,2017,72735,CNG,Manual,6401,243000,9,Mumbai
Audi Q7,Audi,2022,32425,Petrol,Auto,106159,6200000,4,Mumbai
Hyundai Verna,Hyundai,2017,122280,Diesel,Manual,15300,688000,9,Mumbai
Volkswagen Polo,Volkswagen,2015,65085,Petrol,Manual,8048,306000,11,Mumbai
Maruti Swift,Maruti,2019,31442,Petrol,Manual,6620,375000,7,Mumbai
Honda Jazz,Honda,2017,25436,Petrol,Manual,6400,327000,9,Mumbai
Maruti Swift Dzire,Maruti,2016,24971,Petrol,Manual,8005,360000,10,Mumbai
Maruti Baleno,Maruti,2015,41496,Petrol,Manual,9882,375000,11,Mumbai
Hyundai ALCAZAR,Hyundai,2022,78426,Diesel,Auto,23971,1400000,4,Mumbai
Tata NEXON,Tata,2024,17420,Petrol,Auto,17509,1023000,2,Mumbai
Mahindra XUV700,Mahindra,2022,49858,Diesel,Auto,35957,2100000,4,Mumbai
Audi A6,Audi,2024,4405,Petrol,Auto,87324,5100000,2,Mumbai
Datsun Redi Go,Datsun,2018,53059,Petrol,Manual,2499,142000,8,Mumbai
Hyundai Creta,Hyundai,2020,65875,Petrol,Auto,19793,1156000,6,Mumbai
Maruti XL6,Maruti,2022,26398,Petrol,Auto,17979,1050000,4,Mumbai
Hyundai Creta,Hyundai,2018,52281,Petrol,Auto,14897,869999,8,Mumbai
Ford Ecosport,Ford,2015,115854,Diesel,Manual,13226,398000,11,Mumbai
BMW 5 Series,BMW,2017,69490,Petrol,Auto,49013,2575000,9,Mumbai
Lexus ES,Lexus,2020,43930,Hybrid,Auto,58644,3425000,6,Mumbai
Tata TIGOR,Tata,2022,70551,CNG,Manual,9294,526000,4,Mumbai
MG ZS EV,MG,2022,44160,Electric,Auto,23800,1390000,4,Mumbai
Maruti New Wagon-R,Maruti,2022,42548,CNG,Manual,8725,494000,4,Mumbai
Datsun Redi Go,Datsun,2016,30283,Petrol,Manual,2870,129000,10,Mumbai
Hyundai Grand i10,Hyundai,2014,49805,Petrol,Manual,9255,279000,12,Mumbai
Audi A3,Audi,2019,61518,Petrol,Auto,25667,1499000,7,Mumbai
Landrover RANGE ROVER VELAR,Landrover,2021,43114,Diesel,Auto,107786,6295000,5,Mumbai
Maruti Grand Vitara,Maruti,2024,31080,Petrol,Manual,15952,932000,2,Mumbai
KIA SELTOS,KIA,2020,47476,Petrol,Auto,18407,1075000,6,Mumbai
Renault Kwid,Renault,2018,99104,Petrol,Manual,3054,173000,8,Mumbai
Honda City,Honda,2015,74976,CNG,Auto,22204,472000,11,Mumbai
Maruti Swift Dzire,Maruti,2016,36676,Petrol,Manual,6493,292000,10,Mumbai
BMW 5 Series,BMW,2014,58283,Diesel,Auto,71310,1530000,12,Mumbai
Tata Curvv,Tata,2024,14132,Petrol,Manual,21403,1250000,2,Mumbai
Skoda Kodiaq,Skoda,2017,32715,Diesel,Auto,39136,1800000,9,Mumbai
Mahindra XUV700,Mahindra,2021,57080,Petrol,Auto,28337,1655000,5,Mumbai
Tata TIAGO NRG,Tata,2021,17859,Petrol,Auto,8699,493000,5,Mumbai
Skoda Superb,Skoda,2017,59623,Petrol,Auto,18368,965000,9,Mumbai
KIA SONET,KIA,2020,34389,Diesel,Manual,16009,935000,6,Mumbai
Honda City,Honda,2015,43550,Petrol,Manual,9265,352000,11,Mumbai
Renault Kwid,Renault,2016,52889,Petrol,Manual,3782,170000,10,Mumbai
Honda City,Honda,2019,32386,Petrol,Manual,11985,679000,7,Mumbai
Honda City,Honda,2014,63249,Petrol,Manual,8769,264000,12,Mumbai
