Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai i10,Hyundai,2013,53776,Petrol,Manual,11062,235000,13,Nagpur
Mahindra TUV300,Mahindra,2016,189250,Diesel,Manual,11956,454000,10,Nagpur
Ford Ecosport,Ford,2014,118134,Diesel,Manual,15534,330000,12,Nagpur
Tata Tiago,Tata,2023,42632,Petrol,Manual,8826,500000,3,Nagpur
Chevrolet Sail,Chevrolet,2013,72317,Petrol,Manual,6167,131000,13,Nagpur
Maruti Swift Dzire,Maruti,2016,95523,Diesel,Manual,6636,252000,10,Nagpur
Maruti Alto K10,Maruti,2013,72901,Petrol,Manual,7249,154000,13,Nagpur
Hyundai VENUE,Hyundai,2019,122732,Petrol,Auto,16016,720000,7,Nagpur
Hyundai Verna,Hyundai,2014,132769,Diesel,Manual,16240,345000,12,Nagpur
Maruti Alto 800,Maruti,2012,29897,Petrol,Manual,14216,160000,14,Nagpur
Mahindra XUV500,Mahindra,2019,81083,Diesel,Manual,18098,1057000,7,Nagpur
Hyundai Verna,Hyundai,2012,171615,Diesel,Manual,18098,229999,14,Nagpur
Hyundai Eon,Hyundai,2015,38766,Petrol,Manual,4898,186000,11,Nagpur
Jeep Compass,Jeep,2018,83384,Petrol,Auto,16438,960000,8,Nagpur
Hyundai Grand i10,Hyundai,2017,73966,Diesel,Manual,6228,280000,9,Nagpur
Maruti Eeco,Maruti,2023,3641,Petrol,Manual,9709,550000,3,Nagpur
Maruti Swift Dzire,Maruti,2012,93845,Petrol,Manual,20435,229999,14,Nagpur
Hyundai NEW I20,Hyundai,2022,49289,Petrol,Manual,13628,772000,4,Nagpur
Mahindra XUV 3XO,Mahindra,2024,28614,Petrol,Manual,12622,715000,2,Nagpur
Chevrolet Cruze,Chevrolet,2015,81252,Diesel,Manual,14282,430000,11,Nagpur
Hyundai Verna,Hyundai,2012,99999,Diesel,Manual,14282,295000,14,Nagpur
Hyundai i10,Hyundai,2012,22802,Petrol,Manual,15815,178000,14,Nagpur
Maruti Dzire,Maruti,2018,71000,Petrol,Manual,8787,395000,8,Nagpur
Maruti Wagon R 1.0,Maruti,2013,62900,Petrol,Manual,10027,213000,13,Nagpur
Renault Kwid,Renault,2017,82913,Petrol,Manual,4301,220000,9,Nagpur
Maruti Wagon R 1.0,Maruti,2013,66521,Petrol,Manual,12851,273000,13,Nagpur
Maruti Alto 800,Maruti,2013,127983,Petrol,Manual,8097,172000,13,Nagpur
Hyundai Eon,Hyundai,2014,53016,Petrol,Manual,5979,180000,12,Nagpur
Honda Amaze,Honda,2015,199432,Petrol,Manual,6057,229999,11,Nagpur
Maruti Swift Dzire,Maruti,2013,165343,Petrol,Manual,12715,270000,13,Nagpur
Maruti Alto K10,Maruti,2014,24840,Petrol,Manual,6311,190000,12,Nagpur
Hyundai Verna,Hyundai,2012,75046,Petrol,Manual,20613,231999,14,Nagpur
Hyundai Eon,Hyundai,2014,116055,Petrol,Manual,6145,185000,12,Nagpur
Hyundai i10,Hyundai,2012,76931,Petrol,Manual,12794,144000,14,Nagpur
Hyundai i10,Hyundai,2012,78744,Petrol,Manual,17770,200000,14,Nagpur
Hyundai i10,Hyundai,2012,53941,Petrol,Manual,14038,158000,14,Nagpur
Maruti Alto K10,Maruti,2012,66191,Petrol,Manual,10218,114999,14,Nagpur
Hyundai Eon,Hyundai,2014,62926,Petrol,Manual,4816,145000,12,Nagpur
Maruti Ertiga,Maruti,2013,98880,Petrol,Manual,15864,337000,13,Nagpur
