Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Eeco,Maruti,2022,27733,CNG,Manual,7728,438000,4,Patna
Skoda KUSHAQ,Skoda,2023,66576,Petrol,Manual,16092,940000,3,Patna
Maruti Ertiga,Maruti,2019,92458,Petrol,Manual,12354,700000,7,Patna
Hyundai Elite i20,Hyundai,2019,35356,Petrol,Manual,6992,396000,7,Patna
Skoda KUSHAQ,Skoda,2022,71865,Petrol,Manual,14443,844000,4,Patna
Maruti Swift,Maruti,2023,46115,Petrol,Auto,13782,781000,3,Patna
Maruti Alto 800,Maruti,2018,80610,Petrol,Manual,2698,153000,8,Patna
Maruti Dzire,Maruti,2019,30100,Petrol,Manual,8059,457000,7,Patna
Mahindra Scorpio,Mahindra,2021,59447,Diesel,Manual,18820,1099000,5,Patna
Ford FREESTYLE,Ford,2019,27488,Petrol,Manual,6626,375000,7,Patna
Tata NEXON,Tata,2020,46430,Petrol,Manual,10415,590000,6,Patna
Hyundai VENUE,Hyundai,2020,32411,Petrol,Manual,10503,595000,6,Patna
Maruti Alto K10,Maruti,2019,35115,Petrol,Manual,4264,242000,7,Patna
Hyundai AURA,Hyundai,2021,95560,CNG,Manual,8297,470000,5,Patna
Maruti Alto K10,Maruti,2013,107475,Petrol,Manual,5649,120000,13,Patna
Ford Ecosport,Ford,2019,61635,Petrol,Manual,7594,430000,7,Patna
Hyundai i10,Hyundai,2016,36455,Petrol,Manual,4664,210000,10,Patna
Hyundai GRAND I10 NIOS,Hyundai,2022,19850,Petrol,Manual,7614,430999,4,Patna
Hyundai NEW I20,Hyundai,2023,54110,Petrol,Manual,9974,565000,3,Patna
Honda Amaze,Honda,2024,19948,Petrol,Manual,11774,667000,2,Patna
Maruti Baleno,Maruti,2023,17781,Petrol,Manual,12357,700000,3,Patna
Maruti S PRESSO,Maruti,2021,64045,Petrol,Manual,5561,315000,5,Patna
KIA SONET,KIA,2020,38690,Petrol,Manual,10809,612000,6,Patna
Renault TRIBER,Renault,2019,62100,Petrol,Manual,7861,445000,7,Patna
Datsun Redi Go,Datsun,2020,24295,Petrol,Manual,3742,212000,6,Patna
Tata Tiago,Tata,2019,47658,Petrol,Manual,6355,360000,7,Patna
Tata Tiago,Tata,2023,14332,Petrol,Auto,8209,465000,3,Patna
Maruti New Wagon-R,Maruti,2022,27107,Petrol,Manual,8294,470000,4,Patna
Maruti FRONX,Maruti,2024,7554,Petrol,Auto,12798,725000,2,Patna
Maruti BREZZA,Maruti,2022,28115,Petrol,Manual,14959,874000,4,Patna
Honda Jazz,Honda,2017,28120,Petrol,Auto,6629,339000,9,Patna
Toyota Etios,Toyota,2020,65593,CNG,Manual,6411,363000,6,Patna
Hyundai EXTER,Hyundai,2023,36600,Petrol,Manual,10415,590000,3,Patna
Maruti Swift,Maruti,2016,22772,Petrol,Manual,7432,334000,10,Patna
Maruti Ciaz,Maruti,2021,46882,Petrol,Manual,11199,634000,5,Patna
Toyota Innova Crysta,Toyota,2022,86718,Diesel,Auto,28338,1655000,4,Patna
Hyundai New Elantra,Hyundai,2018,54355,Diesel,Auto,15178,776000,8,Patna
Datsun Redi Go,Datsun,2020,41254,Petrol,Manual,4943,280000,6,Patna
Tata NEXON,Tata,2019,21376,Petrol,Manual,7843,444000,7,Patna
Maruti S PRESSO,Maruti,2019,33802,Petrol,Auto,5472,310000,7,Patna
Hyundai VENUE,Hyundai,2021,65283,Petrol,Manual,11828,670000,5,Patna
Maruti Baleno,Maruti,2018,49808,Petrol,Manual,7414,420000,8,Patna
Hyundai NEW I20,Hyundai,2024,11965,Petrol,Manual,12533,710000,2,Patna
Tata Tiago,Tata,2024,26153,Petrol,Manual,8478,480000,2,Patna
Volkswagen TAIGUN,Volkswagen,2022,59704,Petrol,Manual,14897,869999,4,Patna
Maruti S Cross,Maruti,2021,28379,Petrol,Manual,11076,627000,5,Patna
Mahindra XUV300,Mahindra,2020,81792,Petrol,Manual,11651,660000,6,Patna
Maruti S Cross,Maruti,2022,47877,Petrol,Manual,10768,610000,4,Patna
Honda WR-V,Honda,2018,34229,Petrol,Manual,7944,450000,8,Patna
Nissan MAGNITE,Nissan,2022,18531,Petrol,Auto,10833,614000,4,Patna
Honda WR-V,Honda,2020,86665,Diesel,Manual,8964,508000,6,Patna
Tata NEXON,Tata,2023,12845,Diesel,Manual,17465,1019999,3,Patna
Hyundai Creta,Hyundai,2022,73081,Diesel,Manual,17858,1043000,4,Patna
Hyundai GRAND I10 NIOS,Hyundai,2022,6976,Petrol,Auto,9706,550000,4,Patna
Hyundai GRAND I10 NIOS,Hyundai,2023,67739,CNG,Manual,9532,540000,3,Patna
Tata NEXON,Tata,2021,87615,Petrol,Manual,12004,680000,5,Patna
Tata TIAGO NRG,Tata,2022,27628,Petrol,Auto,7970,451000,4,Patna
Honda WR-V,Honda,2017,73513,Diesel,Manual,11351,509999,9,Patna
Tata NEXON,Tata,2023,16636,Petrol,Manual,18939,1106000,3,Patna
KIA SELTOS,KIA,2021,70395,Petrol,Manual,17670,1032000,5,Patna
