Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
MG ASTOR,MG,2022,65670,Petrol,Auto,15325,894999,4,Surat
Nissan Micra,Nissan,2016,91356,Petrol,Auto,6228,280000,10,Surat
Honda Amaze,Honda,2015,72788,CNG,Manual,14593,310000,11,Surat
Hyundai Grand i10,Hyundai,2016,62585,CNG,Manual,11234,338000,10,Surat
Ford Ecosport,Ford,2019,103358,Petrol,Manual,11790,530000,7,Surat
Nissan Micra,Nissan,2013,85425,Petrol,Auto,9402,200000,13,Surat
Maruti Vitara Brezza,Maruti,2018,144919,Diesel,Manual,11790,530000,8,Surat
Mahindra Kuv100,Mahindra,2016,53851,Petrol,Manual,4226,190000,10,Surat
Mahindra XUV500,Mahindra,2017,94939,Diesel,Manual,10846,488000,9,Surat
Tata Tiago,Tata,2021,29850,Petrol,Manual,6270,355000,5,Surat
Nissan Kicks,Nissan,2019,139290,Diesel,Manual,13013,585000,7,Surat
Hyundai Eon,Hyundai,2016,71700,CNG,Manual,5494,165000,10,Surat
Renault TRIBER,Renault,2019,33982,Petrol,Manual,6355,360000,7,Surat
Honda Amaze,Honda,2019,76692,Petrol,Auto,7679,434999,7,Surat
Hyundai i10,Hyundai,2012,66108,Petrol,Manual,12640,142000,14,Surat
Hyundai i10,Hyundai,2012,70879,Petrol,Manual,11819,133000,14,Surat
Hyundai Creta,Hyundai,2017,76961,Petrol,Manual,10843,555000,9,Surat
Skoda KUSHAQ,Skoda,2021,59379,Petrol,Manual,10327,585000,5,Surat
Maruti Ertiga,Maruti,2020,39265,Petrol,Manual,12337,699000,6,Surat
Maruti Alto 800,Maruti,2014,83005,Petrol,Manual,4251,128000,12,Surat
Maruti Wagon R 1.0,Maruti,2018,48480,Petrol,Manual,4643,263000,8,Surat
Maruti Baleno,Maruti,2020,60541,CNG,Manual,8992,509000,6,Surat
Renault Kwid,Renault,2018,65589,Petrol,Manual,3354,190000,8,Surat
Maruti Wagon R Stingray,Maruti,2013,21288,Petrol,Manual,8911,189000,13,Surat
Maruti Ciaz,Maruti,2017,139590,Diesel,Manual,8453,380000,9,Surat
Hyundai Verna,Hyundai,2016,69543,Petrol,Auto,8564,385000,10,Surat
Hyundai New Elantra,Hyundai,2012,87134,Diesel,Auto,8564,270000,14,Surat
Hyundai i10,Hyundai,2013,83202,Petrol,Manual,8238,175000,13,Surat
Maruti BREZZA,Maruti,2023,29442,Petrol,Manual,14123,825000,3,Surat
Honda City,Honda,2021,78333,CNG,Manual,11474,650000,5,Surat
Ford New Figo,Ford,2017,36613,Petrol,Manual,5470,280000,9,Surat
Mahindra XUV500,Mahindra,2020,30379,Diesel,Manual,13681,775000,6,Surat
Hyundai Eon,Hyundai,2017,47628,Petrol,Manual,4692,240000,9,Surat
Hyundai Grand i10,Hyundai,2019,89450,Petrol,Manual,6532,370000,7,Surat
Maruti Swift,Maruti,2021,34844,Petrol,Manual,9621,545000,5,Surat
Hyundai AURA,Hyundai,2021,13221,Petrol,Manual,9268,525000,5,Surat
Tata TIGOR,Tata,2022,48761,Petrol,Auto,8650,490000,4,Surat
Maruti Baleno,Maruti,2017,55054,Petrol,Manual,7331,375000,9,Surat
Maruti Alto 800,Maruti,2019,95614,CNG,Manual,4459,227999,7,Surat
Tata ALTROZ,Tata,2025,9104,Petrol,Manual,12092,685000,1,Surat
Hyundai Grand i10,Hyundai,2017,107596,CNG,Manual,7984,303000,9,Surat
Honda Amaze,Honda,2013,76793,Petrol,Manual,10356,220000,13,Surat
Tata PUNCH,Tata,2024,32527,CNG,Manual,13168,746000,2,Surat
Maruti Alto 800,Maruti,2016,37039,Petrol,Manual,5076,227999,10,Surat
Hyundai Elite i20,Hyundai,2014,107792,Petrol,Manual,10467,315000,12,Surat
Ford Ecosport,Ford,2017,79601,Diesel,Manual,8826,397000,9,Surat
Skoda Octavia,Skoda,2019,55287,Petrol,Auto,15796,923000,7,Surat
Hyundai Eon,Hyundai,2017,132347,Petrol,Manual,3670,165000,9,Surat
KIA SELTOS,KIA,2023,28939,Petrol,Manual,16438,960000,3,Surat
Honda WR-V,Honda,2020,86870,Diesel,Manual,9294,526000,6,Surat
Tata NEXON,Tata,2021,87448,Petrol,Auto,11544,654000,5,Surat
KIA SONET,KIA,2021,94136,Diesel,Auto,12004,680000,5,Surat
Maruti IGNIS,Maruti,2022,41422,Petrol,Manual,7354,417000,4,Surat
Hyundai Verna,Hyundai,2025,10992,Petrol,Auto,20117,1175000,1,Surat
Maruti Wagon R 1.0,Maruti,2013,34617,Petrol,Manual,10101,215000,13,Surat
Maruti Swift,Maruti,2014,138009,Petrol,Manual,9394,283000,12,Surat
Maruti Alto 800,Maruti,2017,82817,Petrol,Manual,3293,168000,9,Surat
Maruti Wagon R 1.0,Maruti,2013,38044,Petrol,Manual,9415,200000,13,Surat
Honda City,Honda,2015,82525,Petrol,Manual,8826,335000,11,Surat
Renault Duster,Renault,2018,87335,Diesel,Manual,7722,395000,8,Surat
Hyundai Elite i20,Hyundai,2019,79137,CNG,Manual,10147,519000,7,Surat
Maruti Alto,Maruti,2020,49616,Petrol,Manual,4739,268000,6,Surat
Volkswagen Polo,Volkswagen,2016,129229,Petrol,Auto,8570,385000,10,Surat
Hyundai Grand i10,Hyundai,2016,52121,Petrol,Auto,7118,320000,10,Surat
Hyundai Creta,Hyundai,2020,87080,Petrol,Manual,14383,840000,6,Surat
Hyundai Grand i10,Hyundai,2018,96033,Petrol,Manual,6116,346000,8,Surat
Honda Amaze,Honda,2015,35930,Petrol,Manual,7510,285000,11,Surat
MG HECTOR,MG,2019,77872,Petrol,Manual,14040,819999,7,Surat
Renault Kwid,Renault,2016,94221,Petrol,Auto,4226,190000,10,Surat
Maruti New Wagon-R,Maruti,2021,38943,Petrol,Manual,7238,409999,5,Surat
Hyundai NEW I20 N LINE,Hyundai,2023,24915,Petrol,Auto,12634,716000,3,Surat
Jeep Compass,Jeep,2017,91443,Diesel,Manual,13569,610000,9,Surat
Mahindra Thar,Mahindra,2021,63814,Diesel,Auto,16951,990000,5,Surat
Hyundai Elite i20,Hyundai,2016,132949,Diesel,Manual,10528,400000,10,Surat
Honda Amaze,Honda,2014,66772,Petrol,Manual,8802,265000,12,Surat
Jeep Compass,Jeep,2019,67446,Diesel,Manual,12588,713000,7,Surat
Maruti Alto 800,Maruti,2019,30088,Petrol,Manual,4325,245000,7,Surat
Maruti Alto,Maruti,2019,57853,Petrol,Manual,3967,225000,7,Surat
Maruti Alto,Maruti,2020,25461,Petrol,Manual,4237,240000,6,Surat
Tata TIGOR,Tata,2023,57521,CNG,Manual,9688,549000,3,Surat
Hyundai VENUE,Hyundai,2019,65385,Petrol,Auto,11651,660000,7,Surat
Hyundai Grand i10,Hyundai,2015,78834,CNG,Manual,15319,325000,11,Surat
Hyundai NEW I20,Hyundai,2021,45985,Petrol,Auto,11474,650000,5,Surat
Maruti Alto 800,Maruti,2017,93121,CNG,Manual,5793,220000,9,Surat
Mahindra XUV300,Mahindra,2021,75937,Diesel,Manual,13328,755000,5,Surat
Hyundai Elite i20,Hyundai,2019,117259,CNG,Manual,11345,509999,7,Surat
Datsun Redi Go,Datsun,2018,48379,Petrol,Auto,2613,148000,8,Surat
Tata NEXON,Tata,2024,18392,Petrol,Auto,14682,857000,2,Surat
Nissan MAGNITE,Nissan,2023,39099,Petrol,Auto,12004,680000,3,Surat
KIA SELTOS,KIA,2021,37133,Petrol,Manual,16670,974000,5,Surat
Hyundai Creta,Hyundai,2019,76152,Petrol,Auto,13681,775000,7,Surat
Maruti Alto,Maruti,2019,97707,CNG,Manual,5001,256000,7,Surat
Volkswagen TAIGUN,Volkswagen,2021,56630,Petrol,Manual,15239,890000,5,Surat
Hyundai i20,Hyundai,2013,54961,Petrol,Manual,13259,282000,13,Surat
Hyundai Elite i20,Hyundai,2019,111991,CNG,Manual,11790,530000,7,Surat
Tata NEXON,Tata,2021,50137,Petrol,Auto,12883,730000,5,Surat
Maruti Eeco,Maruti,2016,66582,CNG,Manual,10606,319000,10,Surat
Hyundai Grand i10,Hyundai,2018,44398,CNG,Manual,9343,420000,8,Surat
Maruti Eeco,Maruti,2017,37708,CNG,Manual,9612,365000,9,Surat
Renault Kwid,Renault,2019,52407,Petrol,Manual,4587,260000,7,Surat
KIA SONET,KIA,2022,22105,Petrol,Manual,12357,700000,4,Surat
Jeep Compass,Jeep,2018,40188,Petrol,Auto,12180,690000,8,Surat
Maruti IGNIS,Maruti,2024,34895,CNG,Manual,8473,480000,2,Surat
Hyundai i20 Active,Hyundai,2017,21209,Petrol,Manual,9775,500000,9,Surat
Jeep Compass,Jeep,2019,70805,Petrol,Auto,15239,890000,7,Surat
Honda WR-V,Honda,2017,106869,Diesel,Manual,10789,484999,9,Surat
Maruti Eeco,Maruti,2018,84138,CNG,Manual,8328,374000,8,Surat
Maruti Alto 800,Maruti,2017,97714,Petrol,Manual,4106,210000,9,Surat
Maruti Alto 800,Maruti,2018,36240,Petrol,Manual,4237,240000,8,Surat
Mahindra XUV300,Mahindra,2021,135953,Diesel,Manual,13792,620000,5,Surat
Nissan Micra,Nissan,2020,79380,Petrol,Auto,7941,450000,6,Surat
Maruti Alto K10,Maruti,2017,77470,CNG,Manual,5603,213000,9,Surat
Ford Figo Aspire,Ford,2017,98654,Diesel,Manual,5138,231000,9,Surat
Hyundai Eon,Hyundai,2018,9818,Petrol,Manual,3778,214000,8,Surat
Renault Kwid,Renault,2016,52577,Petrol,Manual,3039,137000,10,Surat
Mahindra XUV500,Mahindra,2017,227185,Diesel,Auto,10811,486000,9,Surat
Hyundai AURA,Hyundai,2022,88293,Petrol,Manual,10080,571000,4,Surat
Maruti Swift,Maruti,2018,77520,Diesel,Auto,7390,378000,8,Surat
Hyundai Creta,Hyundai,2017,99852,Diesel,Manual,12501,562000,9,Surat
Tata NEXON,Tata,2022,22033,Petrol,Manual,14468,844999,4,Surat
Maruti Alto 800,Maruti,2012,85216,Petrol,Manual,11995,135000,14,Surat
Maruti Alto 800,Maruti,2017,117920,Petrol,Manual,5138,231000,9,Surat
Hyundai Verna,Hyundai,2014,77471,Petrol,Manual,9533,287000,12,Surat
Maruti Alto 800,Maruti,2014,101992,Petrol,Manual,5049,152000,12,Surat
Renault TRIBER,Renault,2019,45650,Petrol,Manual,6196,351000,7,Surat
Honda WR-V,Honda,2018,95198,Diesel,Manual,6843,350000,8,Surat
Maruti Alto 800,Maruti,2015,25165,Petrol,Manual,5530,210000,11,Surat
Tata Tiago,Tata,2016,100705,Diesel,Manual,5161,196000,10,Surat
Renault Kwid,Renault,2016,70485,Petrol,Manual,3292,148000,10,Surat
Maruti IGNIS,Maruti,2022,37159,Petrol,Manual,7202,408000,4,Surat
Hyundai Eon,Hyundai,2014,40989,Petrol,Manual,5580,168000,12,Surat
Maruti Alto 800,Maruti,2018,50031,Petrol,Manual,3495,198000,8,Surat
Maruti Swift Dzire,Maruti,2013,72109,Petrol,Manual,8662,184000,13,Surat
Renault Kwid,Renault,2015,120871,Petrol,Manual,3871,147000,11,Surat
Honda Amaze,Honda,2013,96955,Petrol,Manual,10592,225000,13,Surat
Maruti Alto 800,Maruti,2017,135730,Petrol,Manual,4315,194000,9,Surat
Ford Ecosport,Ford,2015,98852,Diesel,Manual,9665,291000,11,Surat
Maruti Swift Dzire,Maruti,2013,97882,Petrol,Manual,8790,187000,13,Surat
Maruti New Wagon-R,Maruti,2019,70515,Petrol,Manual,5472,310000,7,Surat
Datsun Redi Go,Datsun,2017,62335,Petrol,Manual,2600,133000,9,Surat
Renault Kwid,Renault,2018,26775,Petrol,Manual,3425,194000,8,Surat
Maruti Celerio,Maruti,2014,112897,Petrol,Manual,6909,208000,12,Surat
Hyundai Eon,Hyundai,2016,77237,Petrol,Manual,2825,127000,10,Surat
Maruti Celerio,Maruti,2014,89107,Petrol,Manual,6709,202000,12,Surat
Datsun Redi Go,Datsun,2017,68610,Petrol,Manual,2776,142000,9,Surat
Maruti Wagon R 1.0,Maruti,2015,94452,Petrol,Manual,3950,150000,11,Surat
Maruti Eeco,Maruti,2020,27681,Petrol,Manual,8156,462000,6,Surat
Maruti Eeco,Maruti,2020,67533,Petrol,Manual,6108,346000,6,Surat
Maruti Swift Dzire,Maruti,2013,126215,Diesel,Manual,22212,250000,13,Surat
Hyundai i10,Hyundai,2013,83900,Petrol,Manual,8285,176000,13,Surat
Mahindra KUV 100 NXT,Mahindra,2018,26030,Petrol,Manual,4060,229999,8,Surat
Maruti Eeco,Maruti,2020,49217,Petrol,Manual,6743,382000,6,Surat
Hyundai Eon,Hyundai,2015,56686,Petrol,Manual,3897,148000,11,Surat
Fiat Punto EVO,Fiat,2014,61907,Petrol,Manual,2890,87000,12,Surat
Hyundai Verna,Hyundai,2012,104002,Diesel,Auto,2890,149000,14,Surat
Ford Figo Aspire,Ford,2017,85826,Petrol,Manual,5122,262000,9,Surat
Mahindra Kuv100,Mahindra,2017,7491,Diesel,Manual,4961,223000,9,Surat
Hyundai i20,Hyundai,2012,187648,Diesel,Manual,4961,156000,14,Surat
Maruti Ertiga,Maruti,2015,80650,Diesel,Manual,12190,367000,11,Surat
Renault Kwid,Renault,2017,71718,Petrol,Manual,2717,139000,9,Surat
Maruti Wagon R 1.0,Maruti,2013,64760,Petrol,Manual,8050,171000,13,Surat
Hyundai i10,Hyundai,2012,106393,Petrol,Auto,16082,181000,14,Surat
Volkswagen Vento,Volkswagen,2013,180516,Diesel,Manual,15460,174000,13,Surat
Hyundai i20,Hyundai,2012,147710,Diesel,Manual,15460,155000,14,Surat
Volkswagen Vento,Volkswagen,2018,111005,Petrol,Auto,7786,350000,8,Surat
Maruti Swift Dzire,Maruti,2013,217188,Diesel,Manual,27010,304000,13,Surat
Volkswagen Vento,Volkswagen,2012,114830,Diesel,Manual,27010,139000,14,Surat
Honda City,Honda,2014,101983,Petrol,Manual,7374,222000,12,Surat
Tata TIGOR,Tata,2019,47615,Petrol,Manual,5896,334000,7,Surat
Maruti Dzire,Maruti,2022,44267,Petrol,Manual,10133,574000,4,Surat
Nissan Micra,Nissan,2014,75157,Diesel,Manual,7579,161000,12,Surat
Mahindra Kuv100,Mahindra,2017,87283,Diesel,Manual,4093,184000,9,Surat
