Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Tata TIGOR,Tata,2018,"60,000 km",Petrol,Manual,"EMI ₹5,737/m*",₹3.25 lakh
Maruti Alto 800,Maruti,2013,"59,183 km",Petrol,Manual,"EMI ₹8,084/m*",₹1.72 lakh
Mahindra Kuv100,Mahindra,2016,"92,583 km",Diesel,Manual,"EMI ₹6,683/m*",₹2.54 lakh
Hyundai Creta,Hyundai,2018,"77,164 km",Diesel,Manual,"EMI ₹12,871/m*",₹6.58 lakh
Mahindra Kuv100,Mahindra,2018,"44,360 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
Maruti Vitara Brezza,Maruti,2018,"92,123 km",Diesel,Manual,"EMI ₹11,364/m*",₹5.81 lakh
Tata PUNCH,Tata,2022,"26,000 km",Petrol,Auto,"EMI ₹9,815/m*",₹5.56 lakh
Maruti Swift,Maruti,2013,"1,05,371 km",Diesel,Manual,"EMI ₹17,503/m*",₹1.97 lakh
Maruti Wagon R 1.0,Maruti,2016,"69,019 km",Petrol,Manual,"EMI ₹5,205/m*",₹2.34 lakh
Renault TRIBER,Renault,2020,"72,218 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
Renault Kwid,Renault,2016,"51,025 km",Petrol,Manual,"EMI ₹1,869/m*",₹0.84 lakh
Maruti Dzire,Maruti,2020,"1,15,739 km",Petrol,Manual,"EMI ₹9,810/m*",₹4.41 lakh
Renault Duster,Renault,2015,"90,000 km",Diesel,Manual,"EMI ₹7,307/m*",₹2.20 lakh
Nissan MAGNITE,Nissan,2021,"41,705 km",Petrol,Manual,"EMI ₹6,761/m*",₹3.83 lakh
Mahindra Kuv100,Mahindra,2017,"81,450 km",Diesel,Manual,"EMI ₹4,627/m*",₹2.08 lakh
Nissan MAGNITE,Nissan,2021,"26,577 km",Petrol,Manual,"EMI ₹7,661/m*",₹4.34 lakh
Hyundai Verna,Hyundai,2018,"91,215 km",Diesel,Manual,"EMI ₹12,082/m*",₹6.18 lakh
Toyota Etios Liva,Toyota,2013,"1,45,863 km",Diesel,Manual,"EMI ₹21,324/m*",₹2.40 lakh
Maruti Swift,Maruti,2016,"1,50,334 km",Diesel,Manual,"EMI ₹8,348/m*",₹3.17 lakh
Maruti New Wagon-R,Maruti,2021,"41,896 km",Petrol,Manual,"EMI ₹6,938/m*",₹3.93 lakh
Honda City,Honda,2016,"84,351 km",Diesel,Manual,"EMI ₹8,216/m*",₹3.12 lakh
Ford Ecosport,Ford,2017,"1,52,105 km",Diesel,Manual,"EMI ₹8,675/m*",₹3.90 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"15,476 km",Petrol,Manual,"EMI ₹9,021/m*",₹5.11 lakh
Maruti Swift,Maruti,2019,"72,828 km",Petrol,Manual,"EMI ₹6,584/m*",₹3.73 lakh
Tata Manza,Tata,2012,"1,08,221 km",Diesel,Manual,"EMI ₹6,584/m*",₹0.79 lakh
Hyundai Elite i20,Hyundai,2019,"27,918 km",Petrol,Manual,"EMI ₹6,514/m*",₹3.69 lakh
Maruti Swift,Maruti,2013,"1,89,478 km",Diesel,Manual,"EMI ₹20,435/m*",₹2.30 lakh
Skoda Laura,Skoda,2012,"88,419 km",Petrol,Manual,"EMI ₹11,639/m*",₹1.31 lakh
