Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Wagon R 1.0,Maruti,2018,"40,285 km",Petrol,Manual,"EMI ₹5,896/m*",₹3.34 lakh
Maruti Alto,Maruti,2019,"38,068 km",Petrol,Manual,"EMI ₹3,959/m*",₹2.24 lakh
Maruti Swift,Maruti,2019,"40,477 km",Petrol,Manual,"EMI ₹7,890/m*",₹4.47 lakh
Hyundai Grand i10,Hyundai,2018,"62,098 km",CNG,Manual,"EMI ₹9,939/m*",₹4.47 lakh
Hyundai Elite i20,Hyundai,2017,"75,093 km",Petrol,Manual,"EMI ₹8,371/m*",₹4.28 lakh
Maruti Alto 800,Maruti,2017,"52,290 km",Petrol,Manual,"EMI ₹4,531/m*",₹2.32 lakh
Hyundai i10,Hyundai,2014,"40,603 km",Petrol,Manual,"EMI ₹7,413/m*",₹2.23 lakh
Tata ALTROZ,Tata,2022,"50,007 km",Petrol,Auto,"EMI ₹9,855/m*",₹5.58 lakh
Hyundai Elite i20,Hyundai,2019,"52,549 km",Petrol,Manual,"EMI ₹9,261/m*",₹5.25 lakh
Tata ALTROZ,Tata,2022,"29,288 km",CNG,Auto,"EMI ₹11,033/m*",₹6.25 lakh
Ford Ecosport,Ford,2021,"44,845 km",Diesel,Manual,"EMI ₹14,554/m*",₹8.50 lakh
Hyundai Elite i20,Hyundai,2019,"22,371 km",Petrol,Manual,"EMI ₹9,345/m*",₹5.29 lakh
Skoda SLAVIA,Skoda,2022,"68,593 km",Petrol,Manual,"EMI ₹14,448/m*",₹8.44 lakh
Hyundai Elite i20,Hyundai,2018,"95,311 km",Petrol,Manual,"EMI ₹6,277/m*",₹3.56 lakh
Maruti Celerio,Maruti,2017,"1,06,997 km",Petrol,Auto,"EMI ₹6,675/m*",₹3.00 lakh
Hyundai Grand i10,Hyundai,2017,"40,710 km",CNG,Manual,"EMI ₹10,945/m*",₹4.16 lakh
Nissan MAGNITE,Nissan,2021,"99,687 km",Petrol,Manual,"EMI ₹7,950/m*",₹4.50 lakh
Maruti Alto,Maruti,2021,"36,648 km",CNG,Manual,"EMI ₹5,678/m*",₹3.22 lakh
Maruti Wagon R 1.0,Maruti,2016,"76,637 km",Petrol,Manual,"EMI ₹6,755/m*",₹3.04 lakh
Tata TIGOR,Tata,2019,"1,40,487 km",CNG,Manual,"EMI ₹7,190/m*",₹3.23 lakh
Hyundai NEW I20 N LINE,Hyundai,2021,"48,515 km",Petrol,Manual,"EMI ₹10,545/m*",₹5.97 lakh
Skoda Rapid,Skoda,2020,"82,390 km",Petrol,Manual,"EMI ₹9,324/m*",₹5.28 lakh
Hyundai Elite i20,Hyundai,2017,"64,079 km",Petrol,Manual,"EMI ₹7,353/m*",₹3.76 lakh
Tata Harrier,Tata,2022,"66,992 km",Diesel,Auto,"EMI ₹24,399/m*",₹14.25 lakh
Jeep Compass,Jeep,2019,"80,423 km",Petrol,Auto,"EMI ₹16,089/m*",₹9.40 lakh
Maruti Wagon R 1.0,Maruti,2013,"80,259 km",CNG,Manual,"EMI ₹16,089/m*",₹1.83 lakh
Mahindra XUV300,Mahindra,2020,"99,728 km",Petrol,Manual,"EMI ₹8,670/m*",₹4.91 lakh
Hyundai GRAND I10 NIOS,Hyundai,2020,"65,549 km",Petrol,Manual,"EMI ₹8,129/m*",₹4.60 lakh
Honda Brio,Honda,2015,"39,409 km",Petrol,Manual,"EMI ₹6,725/m*",₹2.55 lakh
Mahindra XUV700,Mahindra,2022,"38,547 km",Petrol,Auto,"EMI ₹23,007/m*",₹13.44 lakh
Tata ALTROZ,Tata,2023,"22,499 km",Petrol,Manual,"EMI ₹11,072/m*",₹6.27 lakh
Hyundai EXTER,Hyundai,2023,"71,738 km",Petrol,Auto,"EMI ₹11,919/m*",₹6.75 lakh
Renault Kwid,Renault,2021,"35,342 km",Petrol,Manual,"EMI ₹4,175/m*",₹2.37 lakh
Maruti Alto K10,Maruti,2017,"36,534 km",Petrol,Manual,"EMI ₹4,664/m*",₹2.39 lakh
Renault Kwid,Renault,2016,"67,101 km",Petrol,Manual,"EMI ₹3,920/m*",₹1.76 lakh
Volkswagen Vento,Volkswagen,2021,"69,524 km",Petrol,Auto,"EMI ₹8,720/m*",₹4.94 lakh
Volkswagen TAIGUN,Volkswagen,2022,"54,233 km",Petrol,Manual,"EMI ₹16,588/m*",₹9.69 lakh
Tata NEXON,Tata,2020,"1,45,444 km",Petrol,Manual,"EMI ₹9,472/m*",₹4.26 lakh
Honda City,Honda,2015,"80,810 km",Petrol,Manual,"EMI ₹8,949/m*",₹3.40 lakh
Skoda KUSHAQ,Skoda,2022,"80,030 km",Petrol,Auto,"EMI ₹13,913/m*",₹7.88 lakh
Tata Tiago,Tata,2018,"50,971 km",Petrol,Manual,"EMI ₹5,302/m*",₹3.00 lakh
Renault Duster,Renault,2017,"30,983 km",Petrol,Manual,"EMI ₹9,759/m*",₹4.99 lakh
Maruti S PRESSO,Maruti,2023,"56,489 km",Petrol,Auto,"EMI ₹8,269/m*",₹4.68 lakh
Hyundai Grand i10,Hyundai,2018,"30,514 km",Petrol,Manual,"EMI ₹5,640/m*",₹3.20 lakh
KIA SELTOS,KIA,2023,"39,263 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
Tata PUNCH,Tata,2022,"38,834 km",Petrol,Manual,"EMI ₹8,425/m*",₹4.77 lakh
Maruti Dzire,Maruti,2017,"1,38,676 km",Diesel,Manual,"EMI ₹8,655/m*",₹3.89 lakh
Maruti Vitara Brezza,Maruti,2016,"1,04,764 km",Diesel,Manual,"EMI ₹13,541/m*",₹5.14 lakh
Honda Amaze,Honda,2018,"80,731 km",Petrol,Manual,"EMI ₹6,397/m*",₹3.62 lakh
Ford Ecosport,Ford,2017,"90,376 km",Diesel,Manual,"EMI ₹7,548/m*",₹3.39 lakh
Maruti Alto 800,Maruti,2017,"52,642 km",Petrol,Manual,"EMI ₹3,890/m*",₹1.99 lakh
Hyundai Xcent,Hyundai,2015,"1,10,613 km",Petrol,Manual,"EMI ₹6,105/m*",₹2.32 lakh
Hyundai Creta,Hyundai,2022,"62,580 km",Petrol,Auto,"EMI ₹17,263/m*",₹10.08 lakh
Hyundai i10,Hyundai,2012,"1,26,549 km",Petrol,Manual,"EMI ₹12,234/m*",₹1.38 lakh
Hyundai Creta,Hyundai,2016,"1,01,744 km",Petrol,Auto,"EMI ₹10,807/m*",₹4.86 lakh
