Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Renault Kwid,Renault,2021,"29,042 km",Petrol,Manual,"EMI ₹6,529/m*",₹3.70 lakh
Tata TIGOR,Tata,2019,"81,313 km",Petrol,Auto,"EMI ₹8,809/m*",₹4.99 lakh
Tata TIGOR,Tata,2021,"36,206 km",Petrol,Manual,"EMI ₹10,060/m*",₹5.70 lakh
Renault Kwid,Renault,2018,"57,335 km",Petrol,Manual,"EMI ₹4,554/m*",₹2.58 lakh
Renault Kwid,Renault,2017,"45,145 km",Petrol,Manual,"EMI ₹5,645/m*",₹2.89 lakh
Maruti Wagon R 1.0,Maruti,2017,"49,218 km",Petrol,Auto,"EMI ₹7,147/m*",₹3.66 lakh
Tata Zest,Tata,2014,"76,499 km",Petrol,Manual,"EMI ₹9,931/m*",₹2.99 lakh
Mahindra TUV300,Mahindra,2017,"30,609 km",Diesel,Manual,"EMI ₹12,457/m*",₹5.60 lakh
Honda Jazz,Honda,2017,"71,229 km",Petrol,Manual,"EMI ₹9,457/m*",₹4.84 lakh
Hyundai i10,Hyundai,2013,"79,492 km",Petrol,Manual,"EMI ₹13,146/m*",₹2.79 lakh
Hyundai i10,Hyundai,2013,"68,100 km",Petrol,Manual,"EMI ₹13,421/m*",₹2.85 lakh
Volkswagen Ameo,Volkswagen,2016,"67,291 km",Petrol,Manual,"EMI ₹9,518/m*",₹4.28 lakh
Toyota Etios Liva,Toyota,2015,"38,768 km",Petrol,Manual,"EMI ₹10,036/m*",₹3.81 lakh
Renault Duster,Renault,2014,"90,221 km",Diesel,Manual,"EMI ₹18,782/m*",₹3.99 lakh
Hyundai Grand i10,Hyundai,2014,"81,419 km",Diesel,Manual,"EMI ₹15,461/m*",₹3.28 lakh
Honda City,Honda,2014,"82,405 km",Petrol,Auto,"EMI ₹15,893/m*",₹4.78 lakh
Hyundai Eon,Hyundai,2014,"40,419 km",Petrol,Manual,"EMI ₹7,871/m*",₹2.37 lakh
Maruti Celerio,Maruti,2020,"18,949 km",Petrol,Manual,"EMI ₹7,403/m*",₹4.19 lakh
KIA SONET,KIA,2021,"62,570 km",Diesel,Manual,"EMI ₹14,105/m*",₹7.99 lakh
Maruti Ciaz,Maruti,2015,"51,463 km",Petrol,Manual,"EMI ₹13,677/m*",₹5.19 lakh
Maruti Dzire,Maruti,2018,"41,032 km",Petrol,Auto,"EMI ₹9,279/m*",₹5.26 lakh
