Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Alto 800,Maruti,2013,"54,674 km",Petrol,Manual,"EMI ₹9,870/m*",₹2.10 lakh
Renault Kwid,Renault,2016,"45,093 km",Petrol,Manual,"EMI ₹5,340/m*",₹2.40 lakh
Renault Kwid,Renault,2016,"77,314 km",Petrol,Manual,"EMI ₹5,558/m*",₹2.50 lakh
Maruti Swift,Maruti,2015,"87,471 km",Petrol,Manual,"EMI ₹8,869/m*",₹3.37 lakh
Volkswagen Ameo,Volkswagen,2017,"80,212 km",Petrol,Manual,"EMI ₹7,785/m*",₹3.98 lakh
Maruti Alto 800,Maruti,2012,"60,998 km",Petrol,Manual,"EMI ₹15,774/m*",₹1.78 lakh
Maruti New Wagon-R,Maruti,2022,"41,630 km",Petrol,Auto,"EMI ₹9,091/m*",₹5.15 lakh
Renault Kwid,Renault,2016,"48,002 km",Petrol,Manual,"EMI ₹4,449/m*",₹2.00 lakh
Maruti Alto K10,Maruti,2023,"27,232 km",Petrol,Manual,"EMI ₹6,982/m*",₹3.96 lakh
Hyundai Grand i10,Hyundai,2014,"49,549 km",Petrol,Manual,"EMI ₹10,671/m*",₹3.21 lakh
Hyundai Grand i10,Hyundai,2018,"37,985 km",Petrol,Manual,"EMI ₹7,092/m*",₹4.02 lakh
Hyundai i20,Hyundai,2013,"1,03,608 km",Petrol,Manual,"EMI ₹13,257/m*",₹2.82 lakh
Maruti Baleno,Maruti,2022,"30,402 km",Petrol,Manual,"EMI ₹11,748/m*",₹6.65 lakh
Hyundai i10,Hyundai,2013,"95,448 km",Petrol,Manual,"EMI ₹7,814/m*",₹1.66 lakh
Honda City,Honda,2018,"81,066 km",Petrol,Manual,"EMI ₹10,582/m*",₹5.99 lakh
Hyundai Elite i20,Hyundai,2018,"46,843 km",Petrol,Manual,"EMI ₹8,097/m*",₹4.59 lakh
Volkswagen Vento,Volkswagen,2013,"1,08,521 km",Petrol,Manual,"EMI ₹13,322/m*",₹2.83 lakh
Renault Kiger,Renault,2022,"29,013 km",Petrol,Auto,"EMI ₹10,957/m*",₹6.21 lakh
Hyundai Creta,Hyundai,2021,"75,777 km",Petrol,Manual,"EMI ₹13,363/m*",₹7.57 lakh
Hyundai i20 Active,Hyundai,2017,"60,535 km",Petrol,Manual,"EMI ₹8,006/m*",₹4.09 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"56,362 km",Petrol,Manual,"EMI ₹10,386/m*",₹5.88 lakh
Datsun Go,Datsun,2014,"24,712 km",Petrol,Manual,"EMI ₹5,082/m*",₹1.53 lakh
Maruti S PRESSO,Maruti,2021,"1,39,679 km",Petrol,Manual,"EMI ₹7,514/m*",₹3.38 lakh
Hyundai i10,Hyundai,2016,"57,449 km",Petrol,Manual,"EMI ₹6,010/m*",₹2.70 lakh
Tata TIGOR,Tata,2018,"62,198 km",Petrol,Manual,"EMI ₹6,637/m*",₹3.76 lakh
KIA CARENS,KIA,2023,"4,955 km",Petrol,Auto,"EMI ₹19,691/m*",₹11.50 lakh
Hyundai Creta,Hyundai,2016,"31,439 km",Petrol,Manual,"EMI ₹11,672/m*",₹5.25 lakh
Ford Figo Aspire,Ford,2017,"32,188 km",Petrol,Manual,"EMI ₹6,491/m*",₹3.32 lakh
Maruti Swift,Maruti,2020,"37,234 km",Petrol,Auto,"EMI ₹9,179/m*",₹5.20 lakh
Hyundai Elite i20,Hyundai,2018,"1,15,598 km",Petrol,Manual,"EMI ₹6,829/m*",₹3.07 lakh
Datsun Redi Go,Datsun,2018,"76,264 km",Petrol,Manual,"EMI ₹3,213/m*",₹1.82 lakh
Tata Tiago,Tata,2018,"1,07,749 km",Petrol,Manual,"EMI ₹6,518/m*",₹2.93 lakh
Maruti S PRESSO,Maruti,2022,"35,637 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
Hyundai NEW I20,Hyundai,2023,"34,232 km",Petrol,Manual,"EMI ₹13,753/m*",₹8.03 lakh
Renault Kwid,Renault,2019,"40,122 km",Petrol,Manual,"EMI ₹4,660/m*",₹2.64 lakh
Honda City,Honda,2022,"31,701 km",Petrol,Auto,"EMI ₹19,691/m*",₹11.50 lakh
Chevrolet Beat,Chevrolet,2014,"1,32,192 km",Diesel,Manual,"EMI ₹6,120/m*",₹1.30 lakh
Tata TIAGO NRG,Tata,2022,"39,806 km",Petrol,Auto,"EMI ₹8,579/m*",₹4.86 lakh
Maruti S PRESSO,Maruti,2021,"42,936 km",Petrol,Manual,"EMI ₹6,478/m*",₹3.67 lakh
Maruti Baleno,Maruti,2023,"19,032 km",Petrol,Manual,"EMI ₹12,092/m*",₹6.85 lakh
Nissan MAGNITE,Nissan,2024,"15,857 km",Petrol,Auto,"EMI ₹10,415/m*",₹5.90 lakh
Tata NEXON,Tata,2021,"28,791 km",Petrol,Manual,"EMI ₹9,991/m*",₹5.66 lakh
Volkswagen Polo,Volkswagen,2016,"73,493 km",Petrol,Manual,"EMI ₹7,011/m*",₹3.15 lakh
Maruti Dzire,Maruti,2018,"52,869 km",Petrol,Auto,"EMI ₹8,191/m*",₹4.64 lakh
Tata Indigo ECS,Tata,2013,"98,911 km",Diesel,Manual,"EMI ₹12,972/m*",₹1.46 lakh
MG ASTOR,MG,2022,"42,328 km",Petrol,Manual,"EMI ₹16,095/m*",₹9.40 lakh
Honda WR-V,Honda,2018,"1,11,028 km",Diesel,Manual,"EMI ₹10,655/m*",₹4.79 lakh
Maruti Celerio,Maruti,2017,"98,200 km",Petrol,Auto,"EMI ₹7,264/m*",₹3.72 lakh
Ford Ecosport,Ford,2013,"1,39,659 km",Diesel,Manual,"EMI ₹25,233/m*",₹2.84 lakh
Toyota YARIS,Toyota,2019,"1,27,430 km",Petrol,Manual,"EMI ₹9,810/m*",₹4.41 lakh
KIA SONET,KIA,2020,"68,265 km",Petrol,Manual,"EMI ₹10,715/m*",₹6.07 lakh
Tata Tiago,Tata,2019,"83,231 km",Petrol,Manual,"EMI ₹5,313/m*",₹3.01 lakh
Toyota URBAN CRUISER,Toyota,2021,"32,578 km",Petrol,Auto,"EMI ₹13,416/m*",₹7.60 lakh
Honda WR-V,Honda,2017,"1,35,810 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
KIA SELTOS,KIA,2023,"47,665 km",Diesel,Manual,"EMI ₹17,178/m*",₹10.03 lakh
Maruti Swift,Maruti,2018,"75,660 km",Petrol,Manual,"EMI ₹8,011/m*",₹4.54 lakh
Hyundai NEW SANTRO,Hyundai,2019,"48,812 km",Petrol,Auto,"EMI ₹5,996/m*",₹3.40 lakh
Nissan MAGNITE,Nissan,2022,"20,147 km",Petrol,Auto,"EMI ₹11,252/m*",₹6.37 lakh
Maruti Ciaz,Maruti,2016,"35,074 km",Petrol,Manual,"EMI ₹11,122/m*",₹5.00 lakh
KIA SELTOS,KIA,2020,"11,669 km",Petrol,Manual,"EMI ₹15,465/m*",₹9.03 lakh
Toyota Glanza,Toyota,2020,"59,309 km",Petrol,Auto,"EMI ₹10,751/m*",₹6.09 lakh
Datsun Redi Go,Datsun,2021,"75,534 km",Petrol,Manual,"EMI ₹4,148/m*",₹2.35 lakh
Honda City,Honda,2018,"92,063 km",Petrol,Manual,"EMI ₹9,674/m*",₹5.48 lakh
Hyundai Elite i20,Hyundai,2016,"99,774 km",Petrol,Manual,"EMI ₹7,830/m*",₹3.52 lakh
Volkswagen VIRTUS,Volkswagen,2022,"26,757 km",Petrol,Auto,"EMI ₹16,305/m*",₹9.52 lakh
Hyundai NEW I20 N LINE,Hyundai,2021,"37,163 km",Petrol,Auto,"EMI ₹12,710/m*",₹7.20 lakh
Maruti Swift,Maruti,2018,"1,11,240 km",Diesel,Auto,"EMI ₹10,826/m*",₹4.87 lakh
Hyundai Elite i20,Hyundai,2016,"47,421 km",Petrol,Manual,"EMI ₹9,587/m*",₹4.31 lakh
Maruti Alto K10,Maruti,2014,"34,789 km",Petrol,Auto,"EMI ₹7,075/m*",₹2.13 lakh
Renault TRIBER,Renault,2021,"40,007 km",Petrol,Manual,"EMI ₹9,621/m*",₹5.45 lakh
Hyundai Elite i20,Hyundai,2018,"1,23,137 km",Petrol,Manual,"EMI ₹8,141/m*",₹3.66 lakh
Hyundai Elite i20,Hyundai,2016,"1,46,409 km",Petrol,Manual,"EMI ₹7,763/m*",₹3.49 lakh
Hyundai Elite i20,Hyundai,2017,"49,960 km",Petrol,Manual,"EMI ₹9,149/m*",₹4.68 lakh
Honda Jazz,Honda,2015,"92,650 km",Petrol,Auto,"EMI ₹8,796/m*",₹3.34 lakh
Hyundai Verna,Hyundai,2018,"74,022 km",Petrol,Auto,"EMI ₹9,956/m*",₹5.64 lakh
Ford Ecosport,Ford,2020,"59,560 km",Petrol,Manual,"EMI ₹10,468/m*",₹5.93 lakh
Maruti Swift,Maruti,2017,"57,423 km",Petrol,Manual,"EMI ₹8,837/m*",₹4.52 lakh
Hyundai Grand i10,Hyundai,2018,"1,15,563 km",Petrol,Manual,"EMI ₹7,185/m*",₹3.23 lakh
Maruti Baleno,Maruti,2020,"59,901 km",Petrol,Manual,"EMI ₹10,215/m*",₹5.79 lakh
Maruti Alto K10,Maruti,2016,"56,381 km",Petrol,Auto,"EMI ₹5,223/m*",₹2.35 lakh
Tata NEXON,Tata,2023,"36,316 km",Petrol,Auto,"EMI ₹11,774/m*",₹6.67 lakh
Renault Duster,Renault,2017,"42,528 km",Petrol,Manual,"EMI ₹10,283/m*",₹5.26 lakh
