Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Datsun Redi Go,Datsun,2017,"35,257 km",Petrol,Manual,"EMI ₹2,757/m*",₹1.41 lakh
Hyundai AURA,Hyundai,2023,"1,20,141 km",CNG,Manual,"EMI ₹13,520/m*",₹6.08 lakh
Honda Jazz,Honda,2017,"31,267 km",Petrol,Manual,"EMI ₹9,234/m*",₹4.72 lakh
Hyundai i10,Hyundai,2013,"65,984 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
Maruti A Star,Maruti,2013,"93,352 km",Petrol,Manual,"EMI ₹9,223/m*",₹1.96 lakh
Hyundai Verna,Hyundai,2013,"58,346 km",Diesel,Manual,"EMI ₹33,744/m*",₹3.80 lakh
Nissan Kicks,Nissan,2020,"1,05,870 km",Petrol,Manual,"EMI ₹12,282/m*",₹5.52 lakh
Maruti Ciaz,Maruti,2018,"61,505 km",Petrol,Manual,"EMI ₹9,961/m*",₹5.64 lakh
Tata TIGOR,Tata,2022,"51,500 km",CNG,Manual,"EMI ₹9,675/m*",₹5.48 lakh
Hyundai Grand i10,Hyundai,2014,"35,524 km",Petrol,Manual,"EMI ₹10,725/m*",₹3.23 lakh
Honda Amaze,Honda,2015,"93,955 km",Petrol,Manual,"EMI ₹7,978/m*",₹3.03 lakh
Renault TRIBER,Renault,2020,"93,858 km",Petrol,Manual,"EMI ₹6,611/m*",₹3.75 lakh
KIA SONET,KIA,2023,"66,402 km",Petrol,Manual,"EMI ₹12,710/m*",₹7.20 lakh
Maruti Swift,Maruti,2018,"59,610 km",Petrol,Auto,"EMI ₹7,680/m*",₹4.35 lakh
Honda City,Honda,2016,"1,02,341 km",Petrol,Manual,"EMI ₹11,100/m*",₹4.99 lakh
Mercedes Benz GLA Class,Mercedes,2014,"88,220 km",Diesel,Auto,"EMI ₹55,929/m*",₹12.00 lakh
Maruti Baleno,Maruti,2018,"1,05,185 km",Petrol,Manual,"EMI ₹10,455/m*",₹4.70 lakh
Maruti Swift,Maruti,2019,"98,709 km",Petrol,Manual,"EMI ₹6,743/m*",₹3.82 lakh
Maruti Celerio,Maruti,2021,"47,221 km",Petrol,Manual,"EMI ₹7,157/m*",₹4.05 lakh
Maruti Alto 800,Maruti,2013,"60,385 km",Petrol,Manual,"EMI ₹8,476/m*",₹1.80 lakh
MG HECTOR PLUS,MG,2020,"78,476 km",Petrol,Auto,"EMI ₹20,290/m*",₹11.85 lakh
Renault TRIBER,Renault,2021,"48,169 km",Petrol,Auto,"EMI ₹8,328/m*",₹4.72 lakh
Hyundai Elite i20,Hyundai,2018,"70,303 km",Petrol,Manual,"EMI ₹8,570/m*",₹4.85 lakh
Hyundai Verna,Hyundai,2012,"1,11,489 km",Diesel,Manual,"EMI ₹8,570/m*",₹2.55 lakh
Hyundai Elite i20,Hyundai,2018,"1,00,301 km",Petrol,Manual,"EMI ₹11,169/m*",₹5.02 lakh
Hyundai VENUE,Hyundai,2021,"68,826 km",Petrol,Manual,"EMI ₹10,503/m*",₹5.95 lakh
Maruti Swift Dzire,Maruti,2013,"83,235 km",Petrol,Manual,"EMI ₹13,040/m*",₹2.77 lakh
KIA SELTOS,KIA,2023,"49,208 km",Petrol,Manual,"EMI ₹16,609/m*",₹9.70 lakh
Volkswagen TAIGUN,Volkswagen,2021,"4,214 km",Petrol,Manual,"EMI ₹18,321/m*",₹10.70 lakh
Volkswagen Polo,Volkswagen,2014,"59,971 km",Petrol,Manual,"EMI ₹9,740/m*",₹2.93 lakh
Chevrolet Sail UVA,Chevrolet,2013,"48,283 km",Petrol,Manual,"EMI ₹9,838/m*",₹2.09 lakh
Hyundai Verna,Hyundai,2014,"1,44,946 km",Diesel,Manual,"EMI ₹17,641/m*",₹3.75 lakh
Renault Kwid,Renault,2018,"63,313 km",Petrol,Manual,"EMI ₹3,742/m*",₹2.12 lakh
Renault Captur,Renault,2018,"63,053 km",Diesel,Manual,"EMI ₹9,756/m*",₹4.99 lakh
KIA SONET,KIA,2020,"34,610 km",Petrol,Auto,"EMI ₹14,383/m*",₹8.40 lakh
Renault Kwid,Renault,2016,"96,269 km",Petrol,Manual,"EMI ₹3,626/m*",₹1.63 lakh
Maruti S PRESSO,Maruti,2021,"57,072 km",Petrol,Auto,"EMI ₹6,833/m*",₹3.87 lakh
KIA SELTOS,KIA,2022,"72,277 km",Diesel,Manual,"EMI ₹19,177/m*",₹11.20 lakh
Tata ALTROZ,Tata,2021,"1,05,264 km",Diesel,Manual,"EMI ₹9,830/m*",₹4.42 lakh
Maruti Swift,Maruti,2014,"67,885 km",Petrol,Manual,"EMI ₹8,636/m*",₹2.60 lakh
Tata NEXON,Tata,2019,"86,522 km",Diesel,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Maruti Alto K10,Maruti,2017,"59,977 km",Petrol,Manual,"EMI ₹5,187/m*",₹2.65 lakh
Renault Kwid,Renault,2017,"44,636 km",Petrol,Auto,"EMI ₹4,262/m*",₹2.18 lakh
Maruti Dzire,Maruti,2021,"1,03,873 km",Petrol,Manual,"EMI ₹10,588/m*",₹4.76 lakh
Maruti Baleno,Maruti,2023,"72,635 km",Petrol,Manual,"EMI ₹8,689/m*",₹4.92 lakh
Ford Ecosport,Ford,2020,"76,631 km",Diesel,Manual,"EMI ₹13,175/m*",₹7.46 lakh
Hyundai Grand i10,Hyundai,2015,"62,969 km",Petrol,Manual,"EMI ₹9,182/m*",₹3.49 lakh
Maruti Baleno,Maruti,2022,"70,833 km",Petrol,Manual,"EMI ₹8,350/m*",₹4.73 lakh
MG HECTOR,MG,2020,"64,147 km",Diesel,Manual,"EMI ₹16,501/m*",₹9.64 lakh
Maruti Ertiga,Maruti,2019,"65,456 km",Petrol,Auto,"EMI ₹13,426/m*",₹7.61 lakh
Maruti Baleno,Maruti,2016,"69,577 km",Petrol,Manual,"EMI ₹8,882/m*",₹3.99 lakh
Hyundai VENUE,Hyundai,2021,"78,864 km",Petrol,Manual,"EMI ₹11,033/m*",₹6.25 lakh
Maruti Baleno,Maruti,2021,"91,848 km",Petrol,Manual,"EMI ₹8,791/m*",₹4.98 lakh
Nissan MAGNITE,Nissan,2022,"71,463 km",Petrol,Manual,"EMI ₹7,414/m*",₹4.20 lakh
Ford New Figo,Ford,2021,"39,681 km",Petrol,Auto,"EMI ₹10,889/m*",₹6.17 lakh
