Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Volkswagen Ameo,Volkswagen,2016,"1,39,671 km",CNG,Manual,"EMI ₹7,971/m*",₹2.40 lakh
Nissan MAGNITE,Nissan,2021,"48,334 km",Petrol,Manual,"EMI ₹7,961/m*",₹4.51 lakh
Tata Tiago,Tata,2017,"65,432 km",Petrol,Manual,"EMI ₹6,572/m*",₹3.36 lakh
Tata NEXON,Tata,2019,"1,11,783 km",Petrol,Manual,"EMI ₹9,244/m*",₹4.16 lakh
Hyundai NEW I20,Hyundai,2023,"48,674 km",Petrol,Manual,"EMI ₹10,856/m*",₹6.15 lakh
Volkswagen Ameo,Volkswagen,2016,"79,717 km",Petrol,Manual,"EMI ₹6,518/m*",₹2.93 lakh
Volkswagen Polo,Volkswagen,2020,"70,362 km",Petrol,Manual,"EMI ₹6,720/m*",₹3.81 lakh
Maruti S PRESSO,Maruti,2023,"12,327 km",Petrol,Manual,"EMI ₹6,990/m*",₹3.96 lakh
Maruti IGNIS,Maruti,2021,"48,171 km",Petrol,Manual,"EMI ₹7,474/m*",₹4.23 lakh
Maruti Swift,Maruti,2015,"73,731 km",Petrol,Manual,"EMI ₹9,077/m*",₹3.45 lakh
Hyundai VENUE,Hyundai,2020,"1,03,236 km",Petrol,Manual,"EMI ₹10,900/m*",₹4.90 lakh
Tata Harrier,Tata,2022,"60,641 km",Diesel,Auto,"EMI ₹23,150/m*",₹13.52 lakh
Maruti Baleno,Maruti,2016,"53,335 km",Petrol,Auto,"EMI ₹7,613/m*",₹3.42 lakh
Maruti Alto 800,Maruti,2016,"55,877 km",Petrol,Manual,"EMI ₹4,427/m*",₹1.99 lakh
Nissan MAGNITE,Nissan,2023,"27,930 km",Petrol,Manual,"EMI ₹8,470/m*",₹4.80 lakh
Hyundai Elite i20,Hyundai,2019,"25,851 km",Petrol,Auto,"EMI ₹7,899/m*",₹4.47 lakh
Hyundai AURA,Hyundai,2022,"45,032 km",Petrol,Manual,"EMI ₹9,794/m*",₹5.55 lakh
Volkswagen Ameo,Volkswagen,2019,"49,461 km",Diesel,Manual,"EMI ₹8,120/m*",₹4.60 lakh
Hyundai NEW I20,Hyundai,2020,"66,458 km",Petrol,Manual,"EMI ₹9,091/m*",₹5.15 lakh
Hyundai NEW I20,Hyundai,2023,"39,600 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Maruti Alto K10,Maruti,2018,"61,893 km",Petrol,Manual,"EMI ₹4,712/m*",₹2.67 lakh
Ford Ecosport,Ford,2018,"1,42,097 km",Diesel,Manual,"EMI ₹11,456/m*",₹5.15 lakh
Tata TIGOR,Tata,2021,"23,482 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
Maruti Vitara Brezza,Maruti,2020,"71,046 km",Petrol,Manual,"EMI ₹10,768/m*",₹6.10 lakh
KIA SELTOS,KIA,2021,"29,800 km",Petrol,Manual,"EMI ₹13,501/m*",₹7.65 lakh
Maruti Baleno,Maruti,2017,"96,493 km",Petrol,Auto,"EMI ₹7,722/m*",₹3.95 lakh
KIA CARENS,KIA,2024,"20,724 km",Petrol,Manual,"EMI ₹16,181/m*",₹9.45 lakh
Renault TRIBER,Renault,2022,"72,311 km",Petrol,Manual,"EMI ₹7,497/m*",₹4.25 lakh
Hyundai Elite i20,Hyundai,2019,"83,244 km",Petrol,Manual,"EMI ₹7,235/m*",₹4.10 lakh
Honda Amaze,Honda,2014,"82,448 km",Petrol,Manual,"EMI ₹7,971/m*",₹2.40 lakh
Maruti Alto,Maruti,2021,"74,768 km",CNG,Manual,"EMI ₹5,208/m*",₹2.95 lakh
Nissan MAGNITE,Nissan,2024,"15,036 km",Petrol,Auto,"EMI ₹8,826/m*",₹5.00 lakh
Tata NEXON,Tata,2024,"5,854 km",Petrol,Manual,"EMI ₹13,261/m*",₹7.51 lakh
Maruti Swift,Maruti,2023,"44,029 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
Hyundai Verna,Hyundai,2021,"45,311 km",Petrol,Auto,"EMI ₹15,410/m*",₹9.00 lakh
Tata NEXON,Tata,2018,"96,091 km",Petrol,Manual,"EMI ₹7,058/m*",₹4.00 lakh
Maruti Alto K10,Maruti,2025,"7,736 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
Mahindra Thar,Mahindra,2021,"60,890 km",Diesel,Auto,"EMI ₹17,037/m*",₹9.95 lakh
Hyundai VENUE,Hyundai,2019,"78,033 km",Petrol,Auto,"EMI ₹10,771/m*",₹6.10 lakh
Volkswagen Vento,Volkswagen,2017,"99,230 km",Diesel,Auto,"EMI ₹10,496/m*",₹4.72 lakh
