Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda Amaze,Honda,2014,"58,313 km",Petrol,Manual,"EMI ₹9,816/m*",₹2.96 lakh
Ford Figo Aspire,Ford,2016,"86,726 km",Petrol,Manual,"EMI ₹6,391/m*",₹2.87 lakh
Mahindra TUV300,Mahindra,2016,"1,03,494 km",Diesel,Auto,"EMI ₹13,489/m*",₹5.12 lakh
Nissan Kicks,Nissan,2020,"38,663 km",Petrol,Manual,"EMI ₹12,586/m*",₹7.13 lakh
Maruti Alto 800,Maruti,2013,"39,801 km",Petrol,Manual,"EMI ₹8,181/m*",₹1.74 lakh
Hyundai Eon,Hyundai,2018,"53,338 km",Petrol,Manual,"EMI ₹3,319/m*",₹1.88 lakh
Tata TIGOR,Tata,2020,"35,465 km",Petrol,Auto,"EMI ₹7,875/m*",₹4.46 lakh
Tata ALTROZ,Tata,2020,"72,750 km",Petrol,Manual,"EMI ₹6,802/m*",₹3.85 lakh
Maruti Swift,Maruti,2019,"44,468 km",Petrol,Manual,"EMI ₹8,170/m*",₹4.63 lakh
MG HECTOR,MG,2021,"90,837 km",Diesel,Manual,"EMI ₹16,814/m*",₹9.82 lakh
Maruti Swift Dzire,Maruti,2013,"68,996 km",Petrol,Manual,"EMI ₹13,981/m*",₹2.97 lakh
Ford Ecosport,Ford,2016,"1,49,073 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
Datsun Redi Go,Datsun,2018,"85,983 km",Petrol,Manual,"EMI ₹2,630/m*",₹1.49 lakh
Honda Jazz,Honda,2018,"64,930 km",Petrol,Auto,"EMI ₹8,632/m*",₹4.89 lakh
Hyundai NEW SANTRO,Hyundai,2020,"63,135 km",Petrol,Auto,"EMI ₹7,116/m*",₹4.03 lakh
Tata NEXON,Tata,2021,"43,360 km",Petrol,Manual,"EMI ₹8,985/m*",₹5.09 lakh
Renault Kwid,Renault,2017,"1,17,607 km",Petrol,Manual,"EMI ₹3,114/m*",₹1.40 lakh
Nissan Sunny,Nissan,2013,"30,075 km",Petrol,Manual,"EMI ₹8,111/m*",₹1.72 lakh
