Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai Elite i20,Hyundai,2017,"1,30,747 km",Petrol,Manual,"EMI ₹6,162/m*",₹2.77 lakh
Jeep Compass,Jeep,2017,"46,449 km",Petrol,Auto,"EMI ₹13,729/m*",₹7.02 lakh
Datsun Redi Go,Datsun,2018,"26,811 km",Petrol,Auto,"EMI ₹4,202/m*",₹2.38 lakh
Renault Kwid,Renault,2020,"22,744 km",Petrol,Manual,"EMI ₹5,144/m*",₹2.91 lakh
Maruti Swift,Maruti,2016,"42,492 km",Petrol,Manual,"EMI ₹8,081/m*",₹3.63 lakh
Hyundai Verna,Hyundai,2016,"1,20,751 km",Diesel,Manual,"EMI ₹13,268/m*",₹5.04 lakh
Volkswagen Polo,Volkswagen,2013,"56,011 km",Petrol,Manual,"EMI ₹12,946/m*",₹2.75 lakh
Hyundai Eon,Hyundai,2012,"71,198 km",Petrol,Manual,"EMI ₹11,609/m*",₹1.31 lakh
Volkswagen TAIGUN,Volkswagen,2021,"39,135 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
Tata NEXON,Tata,2018,"93,457 km",Diesel,Manual,"EMI ₹12,009/m*",₹6.14 lakh
Tata Tiago,Tata,2018,"26,180 km",Petrol,Manual,"EMI ₹4,961/m*",₹2.81 lakh
Jeep Compass,Jeep,2017,"55,340 km",Diesel,Manual,"EMI ₹14,020/m*",₹6.30 lakh
Honda Jazz,Honda,2017,"25,431 km",Petrol,Auto,"EMI ₹8,205/m*",₹4.20 lakh
Hyundai Xcent,Hyundai,2016,"26,710 km",Petrol,Manual,"EMI ₹7,793/m*",₹3.50 lakh
Maruti Alto K10,Maruti,2017,"72,735 km",CNG,Manual,"EMI ₹6,401/m*",₹2.43 lakh
Audi Q7,Audi,2022,"32,425 km",Petrol,Auto,"EMI ₹106,159/m*",₹62.00 lakh
Hyundai Verna,Hyundai,2017,"1,22,280 km",Diesel,Manual,"EMI ₹15,300/m*",₹6.88 lakh
Volkswagen Polo,Volkswagen,2015,"65,085 km",Petrol,Manual,"EMI ₹8,048/m*",₹3.06 lakh
Maruti Swift,Maruti,2019,"31,442 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
Honda Jazz,Honda,2017,"25,436 km",Petrol,Manual,"EMI ₹6,400/m*",₹3.27 lakh
Maruti Swift Dzire,Maruti,2016,"24,971 km",Petrol,Manual,"EMI ₹8,005/m*",₹3.60 lakh
Maruti Baleno,Maruti,2015,"41,496 km",Petrol,Manual,"EMI ₹9,882/m*",₹3.75 lakh
Hyundai ALCAZAR,Hyundai,2022,"78,426 km",Diesel,Auto,"EMI ₹23,971/m*",₹14.00 lakh
Tata NEXON,Tata,2024,"17,420 km",Petrol,Auto,"EMI ₹17,509/m*",₹10.23 lakh
Mahindra XUV700,Mahindra,2022,"49,858 km",Diesel,Auto,"EMI ₹35,957/m*",₹21.00 lakh
Audi A6,Audi,2024,"4,405 km",Petrol,Auto,"EMI ₹87,324/m*",₹51.00 lakh
Datsun Redi Go,Datsun,2018,"53,059 km",Petrol,Manual,"EMI ₹2,499/m*",₹1.42 lakh
Hyundai Creta,Hyundai,2020,"65,875 km",Petrol,Auto,"EMI ₹19,793/m*",₹11.56 lakh
Maruti XL6,Maruti,2022,"26,398 km",Petrol,Auto,"EMI ₹17,979/m*",₹10.50 lakh
Hyundai Creta,Hyundai,2018,"52,281 km",Petrol,Auto,"EMI ₹14,897/m*",₹8.70 lakh
Ford Ecosport,Ford,2015,"1,15,854 km",Diesel,Manual,"EMI ₹13,226/m*",₹3.98 lakh
BMW 5 Series,BMW,2017,"69,490 km",Petrol,Auto,"EMI ₹49,013/m*",₹25.75 lakh
Lexus ES,Lexus,2020,"43,930 km",Hybrid,Auto,"EMI ₹58,644/m*",₹34.25 lakh
Tata TIGOR,Tata,2022,"70,551 km",CNG,Manual,"EMI ₹9,294/m*",₹5.26 lakh
MG ZS EV,MG,2022,"44,160 km",Electric,Auto,"EMI ₹23,800/m*",₹13.90 lakh
Maruti New Wagon-R,Maruti,2022,"42,548 km",CNG,Manual,"EMI ₹8,725/m*",₹4.94 lakh
Datsun Redi Go,Datsun,2016,"30,283 km",Petrol,Manual,"EMI ₹2,870/m*",₹1.29 lakh
Hyundai Grand i10,Hyundai,2014,"49,805 km",Petrol,Manual,"EMI ₹9,255/m*",₹2.79 lakh
Audi A3,Audi,2019,"61,518 km",Petrol,Auto,"EMI ₹25,667/m*",₹14.99 lakh
Landrover RANGE ROVER VELAR,Landrover,2021,"43,114 km",Diesel,Auto,"EMI ₹107,786/m*",₹62.95 lakh
Maruti Grand Vitara,Maruti,2024,"31,080 km",Petrol,Manual,"EMI ₹15,952/m*",₹9.32 lakh
KIA SELTOS,KIA,2020,"47,476 km",Petrol,Auto,"EMI ₹18,407/m*",₹10.75 lakh
Renault Kwid,Renault,2018,"99,104 km",Petrol,Manual,"EMI ₹3,054/m*",₹1.73 lakh
Honda City,Honda,2015,"74,976 km",CNG,Auto,"EMI ₹22,204/m*",₹4.72 lakh
Maruti Swift Dzire,Maruti,2016,"36,676 km",Petrol,Manual,"EMI ₹6,493/m*",₹2.92 lakh
BMW 5 Series,BMW,2014,"58,283 km",Diesel,Auto,"EMI ₹71,310/m*",₹15.30 lakh
Tata Curvv,Tata,2024,"14,132 km",Petrol,Manual,"EMI ₹21,403/m*",₹12.50 lakh
Skoda Kodiaq,Skoda,2017,"32,715 km",Diesel,Auto,"EMI ₹39,136/m*",₹18.00 lakh
Mahindra XUV700,Mahindra,2021,"57,080 km",Petrol,Auto,"EMI ₹28,337/m*",₹16.55 lakh
Tata TIAGO NRG,Tata,2021,"17,859 km",Petrol,Auto,"EMI ₹8,699/m*",₹4.93 lakh
Skoda Superb,Skoda,2017,"59,623 km",Petrol,Auto,"EMI ₹18,368/m*",₹9.65 lakh
KIA SONET,KIA,2020,"34,389 km",Diesel,Manual,"EMI ₹16,009/m*",₹9.35 lakh
Honda City,Honda,2015,"43,550 km",Petrol,Manual,"EMI ₹9,265/m*",₹3.52 lakh
Renault Kwid,Renault,2016,"52,889 km",Petrol,Manual,"EMI ₹3,782/m*",₹1.70 lakh
Honda City,Honda,2019,"32,386 km",Petrol,Manual,"EMI ₹11,985/m*",₹6.79 lakh
Honda City,Honda,2014,"63,249 km",Petrol,Manual,"EMI ₹8,769/m*",₹2.64 lakh
Audi A4,Audi,2022,"35,016 km",Petrol,Auto,"EMI ₹50,939/m*",₹29.75 lakh
Maruti Alto K10,Maruti,2016,"27,630 km",CNG,Manual,"EMI ₹6,371/m*",₹1.92 lakh
Jeep Compass,Jeep,2019,"81,091 km",Petrol,Auto,"EMI ₹15,239/m*",₹8.90 lakh
Hyundai Verna,Hyundai,2019,"76,503 km",Petrol,Manual,"EMI ₹10,330/m*",₹5.85 lakh
Honda WR-V,Honda,2018,"22,342 km",Petrol,Manual,"EMI ₹8,883/m*",₹5.03 lakh
MG HECTOR PLUS,MG,2024,"14,063 km",Petrol,Auto,"EMI ₹34,673/m*",₹20.25 lakh
Hyundai i10,Hyundai,2012,"38,053 km",Petrol,Manual,"EMI ₹15,922/m*",₹1.79 lakh
Maruti IGNIS,Maruti,2017,"55,514 km",Petrol,Auto,"EMI ₹5,292/m*",₹2.71 lakh
Honda Civic,Honda,2019,"54,002 km",Petrol,Auto,"EMI ₹17,722/m*",₹10.35 lakh
Hyundai Creta,Hyundai,2022,"76,230 km",Petrol,Auto,"EMI ₹20,330/m*",₹11.87 lakh
Jeep Compass,Jeep,2018,"40,683 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
Maruti S PRESSO,Maruti,2020,"33,225 km",Petrol,Manual,"EMI ₹5,713/m*",₹3.24 lakh
Volkswagen TAIGUN,Volkswagen,2022,"38,709 km",Petrol,Auto,"EMI ₹17,550/m*",₹10.25 lakh
Maruti Wagon R 1.0,Maruti,2016,"1,28,889 km",Petrol,Manual,"EMI ₹3,960/m*",₹1.78 lakh
Mercedes Benz GLC CLASS,Mercedes,2016,"56,130 km",Diesel,Auto,"EMI ₹60,091/m*",₹23.25 lakh
Maruti Swift,Maruti,2016,"99,872 km",Petrol,Manual,"EMI ₹6,453/m*",₹2.90 lakh
Tata NEXON,Tata,2021,"52,465 km",Petrol,Auto,"EMI ₹12,812/m*",₹7.26 lakh
Jaguar XF,Jaguar,2015,"36,442 km",Petrol,Auto,"EMI ₹34,245/m*",₹13.25 lakh
Hyundai Grand i10,Hyundai,2018,"53,194 km",Petrol,Manual,"EMI ₹5,474/m*",₹3.10 lakh
Maruti S Cross,Maruti,2015,"92,164 km",Diesel,Manual,"EMI ₹15,714/m*",₹4.73 lakh
Nissan MAGNITE,Nissan,2025,"9,264 km",Petrol,Manual,"EMI ₹11,933/m*",₹6.76 lakh
Tata ALTROZ,Tata,2023,"39,430 km",Petrol,Auto,"EMI ₹13,082/m*",₹7.41 lakh
Maruti New Wagon-R,Maruti,2019,"25,027 km",Petrol,Manual,"EMI ₹6,108/m*",₹3.46 lakh
Tata ALTROZ,Tata,2023,"25,451 km",Diesel,Manual,"EMI ₹13,331/m*",₹7.55 lakh
Volkswagen Ameo,Volkswagen,2019,"39,830 km",Diesel,Auto,"EMI ₹9,884/m*",₹5.60 lakh
Renault Kwid,Renault,2016,"62,857 km",Petrol,Manual,"EMI ₹4,007/m*",₹1.80 lakh
Maruti Baleno,Maruti,2016,"47,373 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
Toyota Innova Crysta,Toyota,2022,"68,122 km",Diesel,Manual,"EMI ₹34,074/m*",₹19.90 lakh
Hyundai Creta,Hyundai,2019,"46,498 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
Hyundai Verna,Hyundai,2014,"69,212 km",Diesel,Auto,"EMI ₹16,193/m*",₹3.44 lakh
Jeep MERIDIAN,Jeep,2022,"39,739 km",Diesel,Auto,"EMI ₹40,221/m*",₹23.49 lakh
Mercedes Benz CLS Class,Mercedes,2015,"31,794 km",Diesel,Auto,"EMI ₹83,484/m*",₹25.50 lakh
Maruti Celerio,Maruti,2020,"42,127 km",Petrol,Auto,"EMI ₹5,702/m*",₹3.23 lakh
Landrover DISCOVERY SPORT,Landrover,2020,"56,121 km",Diesel,Auto,"EMI ₹66,349/m*",₹38.75 lakh
Hyundai i20,Hyundai,2012,"44,329 km",Petrol,Manual,"EMI ₹15,460/m*",₹1.74 lakh
Maruti Celerio,Maruti,2014,"72,043 km",Petrol,Auto,"EMI ₹6,942/m*",₹2.09 lakh
Maruti S PRESSO,Maruti,2021,"28,162 km",Petrol,Manual,"EMI ₹5,013/m*",₹2.84 lakh
BMW X1,BMW,2017,"48,094 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
Hyundai Creta,Hyundai,2015,"88,122 km",Diesel,Manual,"EMI ₹19,465/m*",₹5.86 lakh
Hyundai Creta,Hyundai,2017,"1,17,634 km",CNG,Auto,"EMI ₹14,789/m*",₹5.62 lakh
