Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai i10,Hyundai,2013,"53,776 km",Petrol,Manual,"EMI ₹11,062/m*",₹2.35 lakh
Mahindra TUV300,Mahindra,2016,"1,89,250 km",Diesel,Manual,"EMI ₹11,956/m*",₹4.54 lakh
Ford Ecosport,Ford,2014,"1,18,134 km",Diesel,Manual,"EMI ₹15,534/m*",₹3.30 lakh
Tata Tiago,Tata,2023,"42,632 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
Chevrolet Sail,Chevrolet,2013,"72,317 km",Petrol,Manual,"EMI ₹6,167/m*",₹1.31 lakh
Maruti Swift Dzire,Maruti,2016,"95,523 km",Diesel,Manual,"EMI ₹6,636/m*",₹2.52 lakh
Maruti Alto K10,Maruti,2013,"72,901 km",Petrol,Manual,"EMI ₹7,249/m*",₹1.54 lakh
Hyundai VENUE,Hyundai,2019,"1,22,732 km",Petrol,Auto,"EMI ₹16,016/m*",₹7.20 lakh
Hyundai Verna,Hyundai,2014,"1,32,769 km",Diesel,Manual,"EMI ₹16,240/m*",₹3.45 lakh
Maruti Alto 800,Maruti,2012,"29,897 km",Petrol,Manual,"EMI ₹14,216/m*",₹1.60 lakh
Mahindra XUV500,Mahindra,2019,"81,083 km",Diesel,Manual,"EMI ₹18,098/m*",₹10.57 lakh
Hyundai Verna,Hyundai,2012,"1,71,615 km",Diesel,Manual,"EMI ₹18,098/m*",₹2.30 lakh
Hyundai Eon,Hyundai,2015,"38,766 km",Petrol,Manual,"EMI ₹4,898/m*",₹1.86 lakh
Jeep Compass,Jeep,2018,"83,384 km",Petrol,Auto,"EMI ₹16,438/m*",₹9.60 lakh
Hyundai Grand i10,Hyundai,2017,"73,966 km",Diesel,Manual,"EMI ₹6,228/m*",₹2.80 lakh
Maruti Eeco,Maruti,2023,"3,641 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
Maruti Swift Dzire,Maruti,2012,"93,845 km",Petrol,Manual,"EMI ₹20,435/m*",₹2.30 lakh
Hyundai NEW I20,Hyundai,2022,"49,289 km",Petrol,Manual,"EMI ₹13,628/m*",₹7.72 lakh
Mahindra XUV 3XO,Mahindra,2024,"28,614 km",Petrol,Manual,"EMI ₹12,622/m*",₹7.15 lakh
Chevrolet Cruze,Chevrolet,2015,"81,252 km",Diesel,Manual,"EMI ₹14,282/m*",₹4.30 lakh
Hyundai Verna,Hyundai,2012,"99,999 km",Diesel,Manual,"EMI ₹14,282/m*",₹2.95 lakh
Hyundai i10,Hyundai,2012,"22,802 km",Petrol,Manual,"EMI ₹15,815/m*",₹1.78 lakh
Maruti Dzire,Maruti,2018,"71,000 km",Petrol,Manual,"EMI ₹8,787/m*",₹3.95 lakh
Maruti Wagon R 1.0,Maruti,2013,"62,900 km",Petrol,Manual,"EMI ₹10,027/m*",₹2.13 lakh
Renault Kwid,Renault,2017,"82,913 km",Petrol,Manual,"EMI ₹4,301/m*",₹2.20 lakh
Maruti Wagon R 1.0,Maruti,2013,"66,521 km",Petrol,Manual,"EMI ₹12,851/m*",₹2.73 lakh
Maruti Alto 800,Maruti,2013,"1,27,983 km",Petrol,Manual,"EMI ₹8,097/m*",₹1.72 lakh
Hyundai Eon,Hyundai,2014,"53,016 km",Petrol,Manual,"EMI ₹5,979/m*",₹1.80 lakh
Honda Amaze,Honda,2015,"1,99,432 km",Petrol,Manual,"EMI ₹6,057/m*",₹2.30 lakh
Maruti Swift Dzire,Maruti,2013,"1,65,343 km",Petrol,Manual,"EMI ₹12,715/m*",₹2.70 lakh
Maruti Alto K10,Maruti,2014,"24,840 km",Petrol,Manual,"EMI ₹6,311/m*",₹1.90 lakh
Hyundai Verna,Hyundai,2012,"75,046 km",Petrol,Manual,"EMI ₹20,613/m*",₹2.32 lakh
Hyundai Eon,Hyundai,2014,"1,16,055 km",Petrol,Manual,"EMI ₹6,145/m*",₹1.85 lakh
Hyundai i10,Hyundai,2012,"76,931 km",Petrol,Manual,"EMI ₹12,794/m*",₹1.44 lakh
Hyundai i10,Hyundai,2012,"78,744 km",Petrol,Manual,"EMI ₹17,770/m*",₹2.00 lakh
Hyundai i10,Hyundai,2012,"53,941 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
Maruti Alto K10,Maruti,2012,"66,191 km",Petrol,Manual,"EMI ₹10,218/m*",₹1.15 lakh
Hyundai Eon,Hyundai,2014,"62,926 km",Petrol,Manual,"EMI ₹4,816/m*",₹1.45 lakh
Maruti Ertiga,Maruti,2013,"98,880 km",Petrol,Manual,"EMI ₹15,864/m*",₹3.37 lakh
Ford Figo,Ford,2012,"1,28,519 km",Diesel,Manual,"EMI ₹15,864/m*",₹1.30 lakh
Hyundai i10,Hyundai,2012,"1,03,774 km",Petrol,Manual,"EMI ₹15,549/m*",₹1.75 lakh
Hyundai i10,Hyundai,2012,"79,066 km",Petrol,Auto,"EMI ₹13,860/m*",₹1.56 lakh
