Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Eeco,Maruti,2022,"27,733 km",CNG,Manual,"EMI ₹7,728/m*",₹4.38 lakh
Skoda KUSHAQ,Skoda,2023,"66,576 km",Petrol,Manual,"EMI ₹16,092/m*",₹9.40 lakh
Maruti Ertiga,Maruti,2019,"92,458 km",Petrol,Manual,"EMI ₹12,354/m*",₹7.00 lakh
Hyundai Elite i20,Hyundai,2019,"35,356 km",Petrol,Manual,"EMI ₹6,992/m*",₹3.96 lakh
Skoda KUSHAQ,Skoda,2022,"71,865 km",Petrol,Manual,"EMI ₹14,443/m*",₹8.44 lakh
Maruti Swift,Maruti,2023,"46,115 km",Petrol,Auto,"EMI ₹13,782/m*",₹7.81 lakh
Maruti Alto 800,Maruti,2018,"80,610 km",Petrol,Manual,"EMI ₹2,698/m*",₹1.53 lakh
Maruti Dzire,Maruti,2019,"30,100 km",Petrol,Manual,"EMI ₹8,059/m*",₹4.57 lakh
Mahindra Scorpio,Mahindra,2021,"59,447 km",Diesel,Manual,"EMI ₹18,820/m*",₹10.99 lakh
Ford FREESTYLE,Ford,2019,"27,488 km",Petrol,Manual,"EMI ₹6,626/m*",₹3.75 lakh
Tata NEXON,Tata,2020,"46,430 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Hyundai VENUE,Hyundai,2020,"32,411 km",Petrol,Manual,"EMI ₹10,503/m*",₹5.95 lakh
Maruti Alto K10,Maruti,2019,"35,115 km",Petrol,Manual,"EMI ₹4,264/m*",₹2.42 lakh
Hyundai AURA,Hyundai,2021,"95,560 km",CNG,Manual,"EMI ₹8,297/m*",₹4.70 lakh
Maruti Alto K10,Maruti,2013,"1,07,475 km",Petrol,Manual,"EMI ₹5,649/m*",₹1.20 lakh
Ford Ecosport,Ford,2019,"61,635 km",Petrol,Manual,"EMI ₹7,594/m*",₹4.30 lakh
Hyundai i10,Hyundai,2016,"36,455 km",Petrol,Manual,"EMI ₹4,664/m*",₹2.10 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"19,850 km",Petrol,Manual,"EMI ₹7,614/m*",₹4.31 lakh
Hyundai NEW I20,Hyundai,2023,"54,110 km",Petrol,Manual,"EMI ₹9,974/m*",₹5.65 lakh
Honda Amaze,Honda,2024,"19,948 km",Petrol,Manual,"EMI ₹11,774/m*",₹6.67 lakh
Maruti Baleno,Maruti,2023,"17,781 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
Maruti S PRESSO,Maruti,2021,"64,045 km",Petrol,Manual,"EMI ₹5,561/m*",₹3.15 lakh
KIA SONET,KIA,2020,"38,690 km",Petrol,Manual,"EMI ₹10,809/m*",₹6.12 lakh
Renault TRIBER,Renault,2019,"62,100 km",Petrol,Manual,"EMI ₹7,861/m*",₹4.45 lakh
Datsun Redi Go,Datsun,2020,"24,295 km",Petrol,Manual,"EMI ₹3,742/m*",₹2.12 lakh
