Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
MG ASTOR,MG,2022,"65,670 km",Petrol,Auto,"EMI ₹15,325/m*",₹8.95 lakh
Nissan Micra,Nissan,2016,"91,356 km",Petrol,Auto,"EMI ₹6,228/m*",₹2.80 lakh
Honda Amaze,Honda,2015,"72,788 km",CNG,Manual,"EMI ₹14,593/m*",₹3.10 lakh
Hyundai Grand i10,Hyundai,2016,"62,585 km",CNG,Manual,"EMI ₹11,234/m*",₹3.38 lakh
Ford Ecosport,Ford,2019,"1,03,358 km",Petrol,Manual,"EMI ₹11,790/m*",₹5.30 lakh
Nissan Micra,Nissan,2013,"85,425 km",Petrol,Auto,"EMI ₹9,402/m*",₹2.00 lakh
Maruti Vitara Brezza,Maruti,2018,"1,44,919 km",Diesel,Manual,"EMI ₹11,790/m*",₹5.30 lakh
Mahindra Kuv100,Mahindra,2016,"53,851 km",Petrol,Manual,"EMI ₹4,226/m*",₹1.90 lakh
Mahindra XUV500,Mahindra,2017,"94,939 km",Diesel,Manual,"EMI ₹10,846/m*",₹4.88 lakh
Tata Tiago,Tata,2021,"29,850 km",Petrol,Manual,"EMI ₹6,270/m*",₹3.55 lakh
Nissan Kicks,Nissan,2019,"1,39,290 km",Diesel,Manual,"EMI ₹13,013/m*",₹5.85 lakh
Hyundai Eon,Hyundai,2016,"71,700 km",CNG,Manual,"EMI ₹5,494/m*",₹1.65 lakh
Renault TRIBER,Renault,2019,"33,982 km",Petrol,Manual,"EMI ₹6,355/m*",₹3.60 lakh
Honda Amaze,Honda,2019,"76,692 km",Petrol,Auto,"EMI ₹7,679/m*",₹4.35 lakh
Hyundai i10,Hyundai,2012,"66,108 km",Petrol,Manual,"EMI ₹12,640/m*",₹1.42 lakh
Hyundai i10,Hyundai,2012,"70,879 km",Petrol,Manual,"EMI ₹11,819/m*",₹1.33 lakh
Hyundai Creta,Hyundai,2017,"76,961 km",Petrol,Manual,"EMI ₹10,843/m*",₹5.55 lakh
Skoda KUSHAQ,Skoda,2021,"59,379 km",Petrol,Manual,"EMI ₹10,327/m*",₹5.85 lakh
Maruti Ertiga,Maruti,2020,"39,265 km",Petrol,Manual,"EMI ₹12,337/m*",₹6.99 lakh
Maruti Alto 800,Maruti,2014,"83,005 km",Petrol,Manual,"EMI ₹4,251/m*",₹1.28 lakh
Maruti Wagon R 1.0,Maruti,2018,"48,480 km",Petrol,Manual,"EMI ₹4,643/m*",₹2.63 lakh
